Menu item,Menu item,Item revenue per location,Item revenue,Item revenue (%),Items per location,Item volume,Item volume (%),AOV,Guests,Item return rate,Item re-order rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
The Desi Deluxe,297f17b1d91741c7e06ef285193063ac,4856.85,4856.85,0.0042,215.0000,215,0.0020,,0,0.0000,0.0000,2024-12-30,2025-08-04,246.30,246.30,0.0002,10.0000,10.0000,0.0001,,0.0000,0.0000,0.0000,4610.55,18.7192,4610.55,18.7192,0.0040,17.6848,205.0000,20.5000,205.0000,,0.0019,19.9468,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Tandoori Paneer Bowl - Club Feast,ccabcb8808fc31aa7f0186fc4c6917c9,320.85,320.85,0.0003,30.0000,30,0.0003,,0,0.0000,0.0000,2024-12-30,2025-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classic,5466128eeb93a2c97cff872607da2fb8,211.56,211.56,0.0002,12.0000,12,0.0001,,0,0.0000,0.0000,2024-12-30,2025-08-04,225.00,225.00,0.0002,12.0000,12.0000,0.0001,,0.0000,0.0000,0.0000,-13.44,-0.0597,-13.44,-0.0597,-0.0000,-0.1091,0.0000,0.0000,0.0000,,-0.0000,-0.0265,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Lamb Kebab Bowl,e67440b5f094175ee64ce831322fe016,6950.72,34753.58,0.0300,459.6000,2298,0.0210,46.59,825,0.3373,0.1566,2024-12-30,2025-08-04,8786.64,43933.22,0.0400,630.2000,3151.0000,0.0296,47.29,810.0000,0.3679,0.1457,-1835.93,-0.2089,-9179.64,-0.2089,-0.0100,-0.2504,-170.6000,-0.2707,-853.0000,-0.2707,-0.0085,-0.2885,-0.70,-0.0149,15.0000,0.0185,-0.0306,-0.0830,0.0109,0.0752
BYO Indian Burrito,db0c5ae76b375d33e10998b4c9f9b7ac,2058.33,10291.65,0.0089,151.6000,758,0.0069,33.92,290,0.3586,0.1379,2024-12-30,2025-08-04,1905.39,9526.96,0.0087,145.6000,728.0000,0.0068,40.01,213.0000,0.4085,0.1315,152.94,0.0803,764.69,0.0803,0.0002,0.0236,6.0000,0.0412,30.0000,0.0412,0.0001,0.0158,-6.09,-0.1523,77.0000,0.3615,-0.0498,-0.1220,0.0065,0.0493
Samosa Trays,c9ee468eff9c16101eb4b29cad6c5048,249.00,249.00,0.0002,4.0000,4,0.0000,,0,0.0000,0.0000,2024-12-30,2025-08-04,15.50,15.50,0.0000,1.0000,1.0000,0.0000,,0.0000,0.0000,0.0000,233.50,15.0645,233.50,,0.0002,14.2218,3.0000,3.0000,3.0000,,0.0000,3.1111,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Garlic Naan Basket,4e0715fc1285ea4ad237034ebfdf82b6,53.98,53.98,0.0000,2.0000,2,0.0000,,0,0.0000,0.0000,2024-12-30,2025-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvest Chicken Bowl - Club Feast,c1c68c80a7d0206650c25d8e185d3beb,169.50,169.50,0.0001,15.0000,15,0.0001,,0,0.0000,0.0000,2024-12-30,2025-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Curry,bd0e970348fd3d0bbb878201f9e6fd93,664.64,3323.20,0.0029,42.4000,212,0.0019,50.80,84,0.3077,0.0769,2024-12-30,2025-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiced Cauli + Quinoa Bowl,1e8e6594ecff87b7c75c081bd791f412,3183.03,15915.15,0.0137,250.6000,1253,0.0115,45.69,497,0.3896,0.1558,2024-12-30,2025-08-04,3462.82,17314.10,0.0158,288.2000,1441.0000,0.0135,45.78,368.0000,0.4348,0.1658,-279.79,-0.0808,-1398.95,-0.0808,-0.0020,-0.1290,-37.6000,-0.1305,-188.0000,-0.1305,-0.0021,-0.1517,-0.08,-0.0019,129.0000,0.3505,-0.0452,-0.1039,-0.0099,-0.0598
Open Water Sparkling Water,bd334657d0647a944bf877236ce1ddf7,61.50,307.50,0.0003,21.6000,108,0.0010,,28,0.2222,0.0000,2024-12-30,2025-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saag Paneer,b2e5e331828a4748468e0853ec4d1f52,3900.86,19504.28,0.0168,280.6000,1403,0.0128,51.55,249,0.3388,0.1074,2024-12-30,2025-08-04,2092.86,10464.28,0.0095,167.0000,835.0000,0.0078,49.60,199.0000,0.4221,0.0854,1808.00,0.8639,9040.00,0.8639,0.0073,0.7661,113.6000,0.6802,568.0000,0.6802,0.0050,0.6393,1.95,0.0393,50.0000,0.2513,-0.0833,-0.1973,0.0220,0.2577
Saag Chole,e7b06d260a320ee1e70d9b9577458895,313.35,1566.75,0.0014,22.4000,112,0.0010,59.65,24,0.2500,0.0000,2024-12-30,2025-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paneer Tikka Bowl,1680a4357e2ab3fb482a56d60603525a,21888.37,109441.86,0.0945,1557.4000,7787,0.0713,38.72,1787,0.3524,0.2056,2024-12-30,2025-08-04,15461.87,77309.37,0.0704,1177.0000,5885.0000,0.0552,37.94,1038.0000,0.3892,0.2225,6426.50,0.4156,32132.49,0.4156,0.0240,0.3414,380.4000,0.3232,1902.0000,0.3232,0.0161,0.2909,0.78,0.0206,749.0000,0.7216,-0.0368,-0.0946,-0.0170,-0.0763
Spindrift - Lemon,9c741ccf6f8529297f729b75ce83a4f6,202.13,1010.63,0.0009,71.2000,356,0.0033,45.76,119,0.3333,0.0667,2024-12-30,2025-08-04,157.83,789.16,0.0007,55.8000,279.0000,0.0026,44.04,38.0000,0.2632,0.1316,44.29,0.2806,221.47,0.2806,0.0002,0.2135,15.4000,0.2760,77.0000,0.2760,0.0006,0.2447,1.71,0.0389,81.0000,,0.0702,0.2667,-0.0649,-0.4933
Olipop - Cola,4d0b025abdd9a6e15ab6db940ec09ec9,140.75,703.74,0.0006,39.4000,197,0.0018,41.14,62,0.4167,0.0000,2024-12-30,2025-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Lassi for a Group - 1/2 Gallon,bc0ebb5df716085359764e091b9796a5,40.00,120.00,0.0001,1.3333,4,0.0000,,2,1.0000,0.0000,2024-12-30,2025-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
