Menu item,Menu item,Item revenue per location,Item revenue,Item revenue (%),Items per location,Item volume,Item volume (%),AOV,Guests,Item return rate,Item re-order rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Garlic Naan,d82b81ee46917a4a06cdfb7736d70417,737.01,3685.07,0.0199,202.8000,1014,0.0587,40.57,204,0.2402,0.0931,2025-05-26,2025-06-29,518.47,2592.33,0.0138,203.0000,1015.0000,0.0565,42.36,173.0000,0.2486,0.1098,218.55,0.4215,1092.74,0.4215,0.0060,0.4339,-0.2000,-0.0010,-1.0000,-0.0010,0.0022,0.0385,-1.80,-0.0424,31.0000,0.1792,-0.0084,-0.0336,-0.0167,-0.1520
Wild Kombucha - Ginger,2800f7ea017d47701691d95876ecd531,24.56,122.79,0.0007,5.2000,26,0.0015,,6,0.3333,0.0000,2025-05-26,2025-06-29,24.38,121.88,0.0007,5.0000,25.0000,0.0014,,7.0000,0.4286,0.1429,0.18,0.0075,0.91,0.0075,0.0000,0.0162,0.2000,0.0400,1.0000,,0.0001,0.0812,,,-1.0000,,-0.0952,-0.2222,-0.1429,-1.0000
BYO Burrito,19dfcc1e39e0cab78562faa5ab55adbb,293.48,1467.38,0.0079,21.0000,105,0.0061,,39,0.2821,0.1538,2025-05-26,2025-06-29,264.84,1324.22,0.0071,20.4000,102.0000,0.0057,,52.0000,0.2500,0.0577,28.63,0.1081,143.16,0.1081,0.0008,0.1177,0.6000,0.0294,3.0000,0.0294,0.0004,0.0701,,,-13.0000,,0.0321,0.1282,0.0962,1.6667
Paneer Butter Masala,529fd125fd5bc47236ae9c0242d971ee,278.75,1393.73,0.0075,19.0000,95,0.0055,,19,0.2632,0.2105,2025-05-26,2025-06-29,994.55,4972.77,0.0266,74.6000,373.0000,0.0208,45.76,42.0000,0.1905,0.0476,-715.81,-0.7197,-3579.04,-0.7197,-0.0191,-0.7173,-55.6000,-0.7453,-278.0000,-0.7453,-0.0153,-0.7353,,,-23.0000,,0.0727,0.3816,0.1629,3.4211
Spindrift - Grapefruit,7eb389cafb173c3fe430a2ef7af062b5,13.29,66.44,0.0004,4.6000,23,0.0013,,4,0.5000,0.5000,2025-05-26,2025-06-29,11.46,57.30,0.0003,4.0000,20.0000,0.0011,,6.0000,0.0000,0.0000,1.83,0.1595,9.14,,0.0001,0.1696,0.6000,0.1500,3.0000,,0.0002,0.1948,,,-2.0000,,0.5000,0.0000,0.5000,0.0000
Lamb Kofta Korma,862bcdd46106196d86cd2e9bbbd63bc2,82.55,412.75,0.0022,4.6000,23,0.0013,,1,0.0000,0.0000,2025-05-26,2025-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samosa Chaat,ed1b49254bb3de73aa66c7b747f245fd,460.34,2301.71,0.0124,89.2000,446,0.0258,33.97,105,0.2952,0.1714,2025-05-26,2025-06-29,343.12,1715.61,0.0092,63.4000,317.0000,0.0177,39.12,68.0000,0.3676,0.1618,117.22,0.3416,586.10,0.3416,0.0032,0.3533,25.8000,0.4069,129.0000,0.4069,0.0082,0.4625,-5.15,-0.1318,37.0000,,-0.0724,-0.1970,0.0097,0.0597
Masala Chai Cookies,25a7af37faf799e0226041f2b0b2e282,146.89,734.47,0.0040,65.0000,325,0.0188,43.25,59,0.2203,0.0508,2025-05-26,2025-06-29,158.93,794.67,0.0042,64.2000,321.0000,0.0179,41.44,60.0000,0.2833,0.0667,-12.04,-0.0758,-60.20,-0.0758,-0.0003,-0.0677,0.8000,0.0125,4.0000,0.0125,0.0009,0.0524,1.81,0.0437,-1.0000,,-0.0630,-0.2223,-0.0158,-0.2373
Maine Root Fountain Soda,53b139407870a7205e24a64b2ccf9eb2,42.25,84.50,0.0005,15.0000,30,0.0017,,9,0.2222,0.0000,2025-05-26,2025-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coconut Veggie Curry,1db87b95359c565a71844665aa04df83,59.22,296.10,0.0016,4.0000,20,0.0012,,0,0.0000,0.0000,2025-05-26,2025-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
