Menu item,Menu item,Item revenue per location,Item revenue,Item revenue (%),Items per location,Item volume,Item volume (%),AOV,Guests,Item return rate,Item re-order rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Naan,29f3e38343ae99ac5524ed1ddb2b1d6e,141.24,564.97,0.0045,52.0000,208,0.0176,42.31,81,0.1358,0.1111,2025-07-28,2025-08-24,93.66,468.30,0.0049,47.2000,236.0000,0.0249,38.70,61.0000,0.1475,0.0492,47.58,0.5080,96.67,0.2064,-0.0005,-0.0916,4.8000,0.1017,-28.0000,-0.1186,-0.0073,-0.2930,3.60,0.0931,20.0000,,-0.0117,-0.0796,0.0619,1.2593
BYO Burrito,19dfcc1e39e0cab78562faa5ab55adbb,280.34,1121.36,0.0089,21.2500,85,0.0072,,36,0.2778,0.1111,2025-07-28,2025-08-24,243.10,1215.50,0.0128,18.0000,90.0000,0.0095,,45.0000,0.2000,0.1333,37.24,0.1532,-94.14,-0.0774,-0.0039,-0.3054,3.2500,0.1806,-5.0000,,-0.0023,-0.2424,,,-9.0000,,0.0778,0.3889,-0.0222,-0.1667
Masala Chai Cookies,25a7af37faf799e0226041f2b0b2e282,112.79,451.15,0.0036,55.7500,223,0.0189,40.38,68,0.1176,0.0294,2025-07-28,2025-08-24,91.68,458.39,0.0048,38.0000,190.0000,0.0201,39.82,34.0000,0.1471,0.0588,21.11,0.2303,-7.24,-0.0158,-0.0013,-0.2589,17.7500,0.4671,33.0000,0.1737,-0.0012,-0.0584,0.57,0.0143,34.0000,,-0.0294,-0.2000,-0.0294,-0.5000
Garlic Naan,d82b81ee46917a4a06cdfb7736d70417,628.54,2514.14,0.0199,175.2500,701,0.0594,45.05,159,0.1132,0.0566,2025-07-28,2025-08-24,298.57,1492.83,0.0157,119.2000,596.0000,0.0630,38.68,134.0000,0.2015,0.0821,329.97,1.1052,1021.31,0.6841,0.0042,0.2681,56.0500,0.4702,105.0000,0.1762,-0.0036,-0.0564,6.37,0.1648,25.0000,0.1866,-0.0883,-0.4382,-0.0255,-0.3105
Spindrift - Grapefruit,7eb389cafb173c3fe430a2ef7af062b5,20.22,80.88,0.0006,7.5000,30,0.0025,,8,0.1250,0.0000,2025-07-28,2025-08-24,7.38,29.50,0.0003,2.5000,10.0000,0.0011,,2.0000,0.0000,0.0000,12.84,1.7417,51.38,,0.0003,1.0644,5.0000,2.0000,20.0000,,0.0015,1.4059,,,6.0000,,0.1250,0.0000,0.0000,0.0000
Side of Sauce,32614679d8cded9c7fb9f39d0de52643,62.74,250.98,0.0020,13.2500,53,0.0045,,14,0.2857,0.2143,2025-07-28,2025-08-24,48.03,240.14,0.0025,9.6000,48.0000,0.0051,,9.0000,0.3333,0.3333,14.72,0.3064,10.84,0.0451,-0.0005,-0.2131,3.6500,0.3802,5.0000,,-0.0006,-0.1142,,,5.0000,,-0.0476,-0.1429,-0.1190,-0.3571
Mango Lassi for a Group - 1/2 Gallon,bc0ebb5df716085359764e091b9796a5,60.00,120.00,0.0010,2.0000,4,0.0003,,0,0.0000,0.0000,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain Bowl,8f1eb7b733a778fa96d20356d25b7acb,2961.49,11845.98,0.0940,224.0000,896,0.0760,34.10,285,0.2316,0.1719,2025-07-28,2025-08-24,2177.83,10889.14,0.1147,165.8000,829.0000,0.0876,28.28,307.0000,0.2150,0.1596,783.67,0.3598,956.84,0.0879,-0.0208,-0.1809,58.2000,0.3510,67.0000,0.0808,-0.0116,-0.1329,5.82,0.2057,-22.0000,-0.0717,0.0166,0.0772,0.0123,0.0772
Paneer Tikka Masala,6043fb3c3e1f6c4e9e5185337e926936,359.31,1437.24,0.0114,25.5000,102,0.0086,,30,0.2000,0.1000,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pick 2 Combo Plate,d12f9ec63617f8719dc1657b8e76514e,1247.08,4988.30,0.0396,81.7500,327,0.0277,50.28,80,0.1250,0.0625,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
