Menu item,Menu item,Item revenue per location,Item revenue,Item revenue (%),Items per location,Item volume,Item volume (%),AOV,Guests,Item return rate,Item re-order rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Chicken Curry,bd0e970348fd3d0bbb878201f9e6fd93,170.80,683.20,0.0054,10.7500,43,0.0036,,2,0.0000,0.0000,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side of Veggie,2bf13144a231acbd18bd6f39bace242a,50.51,202.03,0.0016,10.2500,41,0.0035,,15,0.1333,0.0000,2025-07-28,2025-08-24,53.17,265.85,0.0028,10.6000,53.0000,0.0056,,14.0000,0.2143,0.0714,-2.66,-0.0501,-63.82,-0.2401,-0.0012,-0.4278,-0.3500,-0.0330,-12.0000,,-0.0021,-0.3794,,,1.0000,,-0.0810,-0.3778,-0.0714,-1.0000
Masala Chai - Oat Milk,d1d6cda5119313e3fecde5947361fe9f,16.25,48.76,0.0004,3.6667,11,0.0009,,2,0.0000,0.0000,2025-07-28,2025-08-24,20.84,83.34,0.0009,4.2500,17.0000,0.0018,,2.0000,0.5000,0.0000,-4.58,-0.2199,-34.58,,-0.0005,-0.5595,-0.5833,-0.1373,-6.0000,,-0.0009,-0.4805,,,0.0000,,-0.5000,-1.0000,0.0000,0.0000
Salad Bowl,12e1c60082e99443f0803dea36bcfd1e,483.98,1935.93,0.0154,34.2500,137,0.0116,48.99,41,0.1951,0.1220,2025-07-28,2025-08-24,428.20,2140.99,0.0226,31.8000,159.0000,0.0168,35.21,68.0000,0.1765,0.1029,55.78,0.1303,-205.06,-0.0958,-0.0072,-0.3192,2.4500,0.0770,-22.0000,-0.1384,-0.0052,-0.3088,13.78,0.3914,-27.0000,,0.0187,0.1057,0.0190,0.1847
Masala Chai,65f3d39b3b905d8708692e1987f25b8f,39.58,118.75,0.0009,9.3333,28,0.0024,,6,0.3333,0.0000,2025-07-28,2025-08-24,35.82,179.09,0.0019,7.6000,38.0000,0.0040,,6.0000,0.1667,0.0000,3.77,0.1051,-60.34,-0.3369,-0.0009,-0.5007,1.7333,0.2281,-10.0000,,-0.0016,-0.4089,,,0.0000,,0.1667,1.0000,0.0000,0.0000
Coconut Veggie Curry,1db87b95359c565a71844665aa04df83,80.75,323.00,0.0026,5.7500,23,0.0019,,1,0.0000,0.0000,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saag Chole,e7b06d260a320ee1e70d9b9577458895,155.12,620.50,0.0049,11.2500,45,0.0038,,2,0.0000,0.0000,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Cardamom Yogurt,41ee76536ff2c1a60482dbe87b9869c6,64.44,257.76,0.0020,21.5000,86,0.0073,,24,0.2500,0.0833,2025-07-28,2025-08-24,54.37,271.84,0.0029,16.4000,82.0000,0.0087,,15.0000,0.1333,0.0000,10.07,0.1853,-14.08,-0.0518,-0.0008,-0.2860,5.1000,0.3110,4.0000,,-0.0014,-0.1586,,,9.0000,,0.1167,0.8750,0.0833,0.0000
Wild Kombucha - Mango Peach,c5637f01dae60eb3ac82016ed498641e,35.78,143.13,0.0011,7.5000,30,0.0025,,3,0.0000,0.0000,2025-07-28,2025-08-24,8.82,44.11,0.0005,2.0000,10.0000,0.0011,,3.0000,0.0000,0.0000,26.96,3.0561,99.02,,0.0007,1.4432,5.5000,2.7500,20.0000,,0.0015,1.4059,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Butter Chicken,9c31e042dca639957d77cf56d13f5e1d,2136.80,8547.21,0.0678,139.5000,558,0.0473,58.61,121,0.1074,0.0744,2025-07-28,2025-08-24,1386.26,6931.31,0.0730,92.0000,460.0000,0.0486,45.23,158.0000,0.1772,0.0759,750.54,0.5414,1615.90,0.2331,-0.0052,-0.0715,47.5000,0.5163,98.0000,0.2130,-0.0013,-0.0269,13.38,0.2958,-37.0000,-0.2342,-0.0698,-0.3937,-0.0016,-0.0207
Lamb Kebab Bowl,e67440b5f094175ee64ce831322fe016,855.26,3421.02,0.0271,56.5000,226,0.0192,58.62,54,0.1481,0.0370,2025-07-28,2025-08-24,684.95,3424.77,0.0361,48.0000,240.0000,0.0254,47.16,115.0000,0.1478,0.0348,170.30,0.2486,-3.75,-0.0011,-0.0089,-0.2479,8.5000,0.1771,-14.0000,-0.0583,-0.0062,-0.2446,11.46,0.2430,-61.0000,-0.5304,0.0003,0.0022,0.0023,0.0648
Side of Main,03d76c3a768e84f8c0bbad2f13d4188a,132.89,531.57,0.0042,26.5000,106,0.0090,,30,0.2333,0.0667,2025-07-28,2025-08-24,67.36,336.81,0.0035,12.4000,62.0000,0.0066,,14.0000,0.2143,0.0000,65.53,0.9728,194.76,0.5782,0.0007,0.1883,14.1000,1.1371,44.0000,,0.0024,0.3715,,,16.0000,,0.0190,0.0889,0.0667,0.0000
Tamarind Lamb Kebab,4ece4abfe00c29fbe8b3e5dd55ec2c38,95.88,383.50,0.0030,7.2500,29,0.0025,,17,0.1176,0.0588,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Paneer Burrito,4c8c37c969bd13578ef2d13e11781bd9,443.16,1772.63,0.0141,30.0000,120,0.0102,46.06,33,0.1212,0.0909,2025-07-28,2025-08-24,201.78,1008.88,0.0106,15.8000,79.0000,0.0083,,38.0000,0.2105,0.0789,241.38,1.1963,763.75,0.7570,0.0034,0.3230,14.2000,0.8987,41.0000,,0.0018,0.2186,,,-5.0000,,-0.0893,-0.4242,0.0120,0.1515
Coconut Harvest Bowl,c0a65853ed069065ae003710b5e7a131,52.85,211.41,0.0017,4.0000,16,0.0014,,6,0.1667,0.0000,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Chicken Ranch Wrap,d8cfa50d70c03b02deec85b84bfe21f5,23.11,69.32,0.0005,2.3333,7,0.0006,,6,0.1667,0.1667,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Samosas,adb32f1bdc98ccdf3a40e53c1eb1948f,395.02,1580.07,0.0125,136.0000,544,0.0461,41.91,136,0.1544,0.0662,2025-07-28,2025-08-24,250.29,1251.44,0.0132,101.0000,505.0000,0.0534,34.99,108.0000,0.2222,0.1296,144.73,0.5783,328.63,0.2626,-0.0007,-0.0493,35.0000,0.3465,39.0000,0.0772,-0.0072,-0.1358,6.92,0.1977,28.0000,0.2593,-0.0678,-0.3051,-0.0635,-0.4895
Iced Oat Masala Chai,4b20ca2314d50af8a833d825f8497f0e,139.95,419.86,0.0033,27.6667,83,0.0070,,21,0.1905,0.0476,2025-07-28,2025-08-24,91.57,457.87,0.0048,17.2000,86.0000,0.0091,,21.0000,0.0952,0.0476,48.38,0.5283,-38.01,-0.0830,-0.0015,-0.3096,10.4667,0.6085,-3.0000,,-0.0021,-0.2258,,,0.0000,,0.0952,1.0000,0.0000,0.0000
Spindrift - Lemon,9c741ccf6f8529297f729b75ce83a4f6,23.62,94.49,0.0007,8.2500,33,0.0028,,5,0.0000,0.0000,2025-07-28,2025-08-24,18.12,90.58,0.0010,6.2000,31.0000,0.0033,,4.0000,0.0000,0.0000,5.51,0.3040,3.91,,-0.0002,-0.2145,2.0500,0.3306,2.0000,,-0.0005,-0.1459,,,1.0000,,0.0000,0.0000,0.0000,0.0000
Chicken Tikka + Avocado Salad,0728e0a55ce8f942b4f93af58819db09,575.58,2302.31,0.0183,37.5000,150,0.0127,60.57,32,0.1250,0.0625,2025-07-28,2025-08-24,492.76,2463.80,0.0260,33.8000,169.0000,0.0179,50.20,69.0000,0.2029,0.1159,82.82,0.1681,-161.49,-0.0655,-0.0077,-0.2964,3.7000,0.1095,-19.0000,-0.1124,-0.0051,-0.2880,10.37,0.2066,-37.0000,,-0.0779,-0.3839,-0.0534,-0.4609
Chicken Tikka Masala,267c2347c906518c838773cc8332e72e,1399.19,5596.77,0.0444,92.0000,368,0.0312,54.43,88,0.1023,0.0682,2025-07-28,2025-08-24,960.04,4800.22,0.0506,63.8000,319.0000,0.0337,44.72,111.0000,0.2162,0.1261,439.15,0.4574,796.55,0.1659,-0.0062,-0.1221,28.2000,0.4420,49.0000,0.1536,-0.0025,-0.0745,9.71,0.2171,-23.0000,-0.2072,-0.1139,-0.5270,-0.0579,-0.4594
Open Water Still Water,924a62abf03e0973f0882c9bc80cf78d,31.89,127.58,0.0010,10.7500,43,0.0036,,6,0.3333,0.0000,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy Chili Chicken Bowl,f69c4f89d02ed8113b95711324f0c441,3000.67,12002.66,0.0952,214.7500,859,0.0728,43.29,187,0.2193,0.1337,2025-07-28,2025-08-24,1693.61,8468.04,0.0892,123.6000,618.0000,0.0653,36.13,214.0000,0.2056,0.1262,1307.06,0.7718,3534.62,0.4174,0.0060,0.0672,91.1500,0.7375,241.0000,0.3900,0.0075,0.1151,7.16,0.1982,-27.0000,-0.1262,0.0136,0.0664,0.0075,0.0596
Greens + Grains Bowl,3a65db2934efc6fe92bd7535047b7ae0,1798.19,7192.76,0.0571,140.0000,560,0.0475,34.39,186,0.1559,0.1237,2025-07-28,2025-08-24,1939.74,9698.70,0.1022,148.6000,743.0000,0.0785,29.95,253.0000,0.2292,0.1344,-141.55,-0.0730,-2505.94,-0.2584,-0.0451,-0.4416,-8.6000,-0.0579,-183.0000,-0.2463,-0.0310,-0.3954,4.45,0.1485,-67.0000,-0.2648,-0.0733,-0.3199,-0.0107,-0.0799
Side of Grain,343ce46c5489f43ec64a165e5323783f,15.19,60.77,0.0005,8.7500,35,0.0030,,21,0.1429,0.0952,2025-07-28,2025-08-24,28.65,143.26,0.0015,9.8000,49.0000,0.0052,,14.0000,0.0714,0.0000,-13.46,-0.4698,-82.49,-0.5758,-0.0010,-0.6806,-1.0500,-0.1071,-14.0000,,-0.0022,-0.4270,,,7.0000,,0.0714,1.0000,0.0952,0.0000
Cucumber Raita,b6aef261062648a464a75abf3a88d636,62.87,251.46,0.0020,24.2500,97,0.0082,,27,0.1111,0.0741,2025-07-28,2025-08-24,39.01,195.05,0.0021,13.2000,66.0000,0.0070,,12.0000,0.2500,0.1667,23.85,0.6115,56.41,0.2892,-0.0001,-0.0293,11.0500,0.8371,31.0000,,0.0012,0.1789,,,15.0000,,-0.1389,-0.5556,-0.0926,-0.5556
Spiced Cauli + Quinoa Bowl,1e8e6594ecff87b7c75c081bd791f412,364.94,1459.76,0.0116,29.5000,118,0.0100,,37,0.2162,0.0811,2025-07-28,2025-08-24,355.26,1776.31,0.0187,29.6000,148.0000,0.0156,46.73,65.0000,0.2769,0.1538,9.68,0.0272,-316.55,-0.1782,-0.0071,-0.3812,-0.1000,-0.0034,-30.0000,-0.2027,-0.0056,-0.3604,,,-28.0000,,-0.0607,-0.2192,-0.0728,-0.4730
Spicy Chicken + Avocado,f4130c25d2ca93ff32100507b9969d8b,54.05,216.19,0.0017,4.2500,17,0.0014,,9,0.3333,0.1111,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Lassi,612a2d386edc9534c9b0c2d1c8cb2290,411.62,1646.47,0.0131,104.2500,417,0.0354,39.76,181,0.1878,0.0884,2025-07-28,2025-08-24,310.88,1554.41,0.0164,60.4000,302.0000,0.0319,39.57,85.0000,0.3412,0.1647,100.74,0.3240,92.06,0.0592,-0.0033,-0.2025,43.8500,0.7260,115.0000,0.3808,0.0034,0.1077,0.19,0.0049,96.0000,,-0.1533,-0.4494,-0.0763,-0.4633
Handcrafted Juice for a Group - 1/2 Gallon,f12094b0bded9c9432de5ac307f5bd5f,45.00,45.00,0.0004,3.0000,3,0.0003,,0,0.0000,0.0000,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine Root Fountain Soda,53b139407870a7205e24a64b2ccf9eb2,24.52,49.05,0.0004,8.5000,17,0.0014,,6,0.0000,0.0000,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olipop - Lemon Lime,d0f6c9eca03c9e01cc39075f92426076,29.74,118.97,0.0009,9.0000,36,0.0031,,6,0.0000,0.0000,2025-07-28,2025-08-24,10.45,41.79,0.0004,3.0000,12.0000,0.0013,,1.0000,0.0000,0.0000,19.30,1.8469,77.18,,0.0005,1.1435,6.0000,2.0000,24.0000,,0.0018,1.4069,,,5.0000,,0.0000,0.0000,0.0000,0.0000
Spicy Chicken Burrito,0f9c19dd694d3299d402c77c69c32f52,175.61,702.45,0.0056,13.5000,54,0.0046,,24,0.2083,0.0417,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Tikka Bowl,19eee3ab8ae56d4fa56ef6ce1485693d,7435.49,29741.94,0.2359,587.5000,2350,0.1992,35.24,366,0.1858,0.1393,2025-07-28,2025-08-24,2924.29,14621.44,0.1541,230.8000,1154.0000,0.1219,32.73,355.0000,0.1859,0.1239,4511.20,1.5427,15120.50,1.0341,0.0819,0.5316,356.7000,1.5455,1196.0000,1.0364,0.0773,0.6336,2.51,0.0766,11.0000,0.0310,-0.0001,-0.0007,0.0154,0.1242
Strawberry Lassi,6c09d93c3dca4c4768fd5830f10d2afb,113.97,455.86,0.0036,22.5000,90,0.0076,,27,0.1852,0.0741,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samosa Chaat,ed1b49254bb3de73aa66c7b747f245fd,377.87,1511.47,0.0120,67.7500,271,0.0230,39.88,86,0.2326,0.1744,2025-07-28,2025-08-24,244.21,1221.05,0.0129,47.0000,235.0000,0.0248,35.36,76.0000,0.2632,0.1053,133.66,0.5473,290.42,0.2378,-0.0009,-0.0680,20.7500,0.4415,36.0000,0.1532,-0.0019,-0.0749,4.52,0.1278,10.0000,,-0.0306,-0.1163,0.0692,0.6570
Saag Paneer,b2e5e331828a4748468e0853ec4d1f52,226.71,906.85,0.0072,16.7500,67,0.0057,,21,0.0952,0.0476,2025-07-28,2025-08-24,176.70,883.48,0.0093,13.0000,65.0000,0.0069,,21.0000,0.1429,0.0000,50.02,0.2831,23.37,0.0265,-0.0021,-0.2271,3.7500,0.2885,2.0000,,-0.0012,-0.1731,,,0.0000,,-0.0476,-0.3333,0.0476,0.0000
Wild Kombucha - Ginger,2800f7ea017d47701691d95876ecd531,30.16,90.47,0.0007,7.0000,21,0.0018,,7,0.4286,0.4286,2025-07-28,2025-08-24,16.75,83.77,0.0009,3.4000,17.0000,0.0018,,2.0000,0.0000,0.0000,13.40,0.8000,6.70,,-0.0002,-0.1868,3.6000,1.0588,4.0000,,-0.0000,-0.0089,,,5.0000,,0.4286,0.0000,0.4286,0.0000
Butter Chicken Burrito,037d8e4f48a3c66db8eaff8a4770bc84,800.44,3201.75,0.0254,62.7500,251,0.0213,39.50,92,0.1087,0.0870,2025-07-28,2025-08-24,489.90,2449.52,0.0258,38.2000,191.0000,0.0202,35.03,106.0000,0.2453,0.0755,310.53,0.6339,752.23,0.3071,-0.0004,-0.0158,24.5500,0.6427,60.0000,0.3141,0.0011,0.0542,4.47,0.1276,-14.0000,-0.1321,-0.1366,-0.5569,0.0115,0.1522
Kids BYO,66c163b662cda637cb2478e2112386c7,272.70,1090.79,0.0087,38.0000,152,0.0129,32.63,70,0.1571,0.0857,2025-07-28,2025-08-24,261.42,1307.12,0.0138,33.8000,169.0000,0.0179,37.79,66.0000,0.1515,0.1061,11.27,0.0431,-216.33,-0.1655,-0.0051,-0.3717,4.2000,0.1243,-17.0000,-0.1006,-0.0050,-0.2785,-5.15,-0.1364,4.0000,,0.0056,0.0371,-0.0203,-0.1918
Homemade Juice,d6f19fa56665e191989db7a893806ea1,61.02,244.08,0.0019,24.7500,99,0.0084,,43,0.2093,0.0698,2025-07-28,2025-08-24,73.30,366.51,0.0039,27.8000,139.0000,0.0147,26.54,79.0000,0.2025,0.1139,-12.28,-0.1676,-122.43,-0.3340,-0.0019,-0.4986,-3.0500,-0.1097,-40.0000,-0.2878,-0.0063,-0.4286,,,-36.0000,,0.0068,0.0334,-0.0442,-0.3876
Lamb Kofta Korma,862bcdd46106196d86cd2e9bbbd63bc2,81.60,326.40,0.0026,4.7500,19,0.0016,,1,0.0000,0.0000,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olipop - Cola,4d0b025abdd9a6e15ab6db940ec09ec9,26.20,104.82,0.0008,7.5000,30,0.0025,,6,0.0000,0.0000,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aloo Gobhi,d64c6c4491b32b7ee357a93508b45c4f,107.27,429.06,0.0034,8.0000,32,0.0027,,10,0.2000,0.0000,2025-07-28,2025-08-24,195.89,979.46,0.0103,14.0000,70.0000,0.0074,,28.0000,0.1429,0.0357,-88.63,-0.4524,-550.40,-0.5619,-0.0069,-0.6702,-6.0000,-0.4286,-38.0000,,-0.0047,-0.6332,,,-18.0000,,0.0571,0.4000,-0.0357,-1.0000
Open Water Sparkling Water,bd334657d0647a944bf877236ce1ddf7,25.98,51.95,0.0004,8.5000,17,0.0014,,2,0.0000,0.0000,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paneer Tikka Bowl,1680a4357e2ab3fb482a56d60603525a,2847.11,11388.43,0.0903,207.0000,828,0.0702,42.88,152,0.1776,0.1053,2025-07-28,2025-08-24,1539.30,7696.51,0.0811,116.6000,583.0000,0.0616,35.86,204.0000,0.1765,0.0882,1307.81,0.8496,3691.92,0.4797,0.0093,0.1141,90.4000,0.7753,245.0000,0.4202,0.0086,0.1393,7.02,0.1959,-52.0000,-0.2549,0.0012,0.0066,0.0170,0.1930
