Menu item,Menu item,Item revenue per location,Item revenue,Item revenue (%),Items per location,Item volume,Item volume (%),AOV,Guests,Item return rate,Item re-order rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Cucumber Raita,b6aef261062648a464a75abf3a88d636,68.29,341.43,0.0025,24.2000,121,0.0091,42.41,27,0.5185,0.0741,2025-04-28,2025-05-25,54.79,273.97,0.0021,18.6000,93.0000,0.0072,,19.0000,0.3684,0.2105,13.49,0.2462,67.46,0.2462,0.0004,0.1918,5.6000,0.3011,28.0000,,0.0019,0.2561,,,8.0000,,0.1501,0.4074,-0.1365,-0.6481
Side of Sauce,32614679d8cded9c7fb9f39d0de52643,52.02,260.10,0.0019,10.2000,51,0.0038,,10,0.3000,0.1000,2025-04-28,2025-05-25,24.13,120.63,0.0009,4.8000,24.0000,0.0019,,10.0000,0.7000,0.2000,27.89,1.1562,139.47,1.1562,0.0010,1.0621,5.4000,1.1250,27.0000,,0.0020,1.0520,,,0.0000,,-0.4000,-0.5714,-0.1000,-0.5000
Aloo Gobhi,d64c6c4491b32b7ee357a93508b45c4f,302.11,1510.57,0.0109,21.2000,106,0.0080,,15,0.3333,0.1333,2025-04-28,2025-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Water Still Water,924a62abf03e0973f0882c9bc80cf78d,24.60,123.00,0.0009,8.2000,41,0.0031,,4,0.5000,0.2500,2025-04-28,2025-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side of Main,03d76c3a768e84f8c0bbad2f13d4188a,141.12,705.58,0.0051,26.4000,132,0.0099,37.94,17,0.4706,0.1176,2025-04-28,2025-05-25,106.31,531.55,0.0040,18.2000,91.0000,0.0071,,21.0000,0.2381,0.1905,34.81,0.3274,174.03,0.3274,0.0011,0.2695,8.2000,0.4505,41.0000,,0.0028,0.4004,,,-4.0000,,0.2325,0.9765,-0.0728,-0.3824
Pick 2 Combo Plate,d12f9ec63617f8719dc1657b8e76514e,671.88,3359.39,0.0243,41.4000,207,0.0155,40.68,56,0.3571,0.0893,2025-04-28,2025-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiced Cauli + Quinoa Bowl,1e8e6594ecff87b7c75c081bd791f412,428.21,2141.04,0.0155,34.6000,173,0.0130,39.33,70,0.4429,0.2143,2025-04-28,2025-05-25,277.21,1386.07,0.0105,24.2000,121.0000,0.0094,40.97,60.0000,0.4833,0.3167,150.99,0.5447,754.97,0.5447,0.0050,0.4773,10.4000,0.4298,52.0000,0.4298,0.0036,0.3802,-1.64,-0.0401,10.0000,,-0.0405,-0.0837,-0.1024,-0.3233
Olipop - Cola,4d0b025abdd9a6e15ab6db940ec09ec9,20.62,82.50,0.0006,5.5000,22,0.0017,,2,0.5000,0.0000,2025-04-28,2025-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Samosas,adb32f1bdc98ccdf3a40e53c1eb1948f,357.21,1786.04,0.0129,148.6000,743,0.0558,34.45,145,0.3931,0.2000,2025-04-28,2025-05-25,277.19,1385.96,0.0105,111.6000,558.0000,0.0434,34.69,123.0000,0.4715,0.2846,80.02,0.2887,400.08,0.2887,0.0024,0.2324,37.0000,0.3315,185.0000,0.3315,0.0124,0.2855,-0.24,-0.0069,22.0000,0.1789,-0.0784,-0.1664,-0.0846,-0.2971
Paneer Tikka Bowl,1680a4357e2ab3fb482a56d60603525a,2155.80,10779.01,0.0779,152.6000,763,0.0573,35.02,187,0.3797,0.2888,2025-04-28,2025-05-25,1912.52,9562.60,0.0722,146.2000,731.0000,0.0568,36.53,180.0000,0.5167,0.3167,243.28,0.1272,1216.41,0.1272,0.0056,0.0780,6.4000,0.0438,32.0000,0.0438,0.0004,0.0077,-1.51,-0.0412,7.0000,0.0389,-0.1370,-0.2651,-0.0279,-0.0881
Sweet Cardamom Yogurt,41ee76536ff2c1a60482dbe87b9869c6,79.62,398.08,0.0029,23.2000,116,0.0087,,23,0.3043,0.1304,2025-04-28,2025-05-25,53.61,268.06,0.0020,18.0000,90.0000,0.0070,,14.0000,0.2857,0.0000,26.00,0.4850,130.02,0.4850,0.0009,0.4202,5.2000,0.2889,26.0000,,0.0017,0.2443,,,9.0000,,0.0186,0.0652,0.1304,0.0000
Handcrafted Juice for a Group - 1/2 Gallon,f12094b0bded9c9432de5ac307f5bd5f,30.00,30.00,0.0002,2.0000,2,0.0001,,0,0.0000,0.0000,2025-04-28,2025-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine Root Fountain Soda,53b139407870a7205e24a64b2ccf9eb2,32.50,65.00,0.0005,11.0000,22,0.0017,,3,0.3333,0.3333,2025-04-28,2025-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coconut Veggie Curry,1db87b95359c565a71844665aa04df83,47.05,235.25,0.0017,3.2000,16,0.0012,,1,1.0000,0.0000,2025-04-28,2025-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homemade Juice,d6f19fa56665e191989db7a893806ea1,69.35,346.77,0.0025,25.0000,125,0.0094,31.69,45,0.4222,0.1778,2025-04-28,2025-05-25,133.09,665.46,0.0050,47.8000,239.0000,0.0186,29.75,83.0000,0.5542,0.3253,-63.74,-0.4789,-318.69,-0.4789,-0.0025,-0.5017,-22.8000,-0.4770,-114.0000,-0.4770,-0.0092,-0.4951,1.94,0.0652,-38.0000,,-0.1320,-0.2382,-0.1475,-0.4535
Butter Chicken,9c31e042dca639957d77cf56d13f5e1d,1249.91,6249.57,0.0452,79.2000,396,0.0297,47.31,118,0.3220,0.1610,2025-04-28,2025-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
