Menu item,Menu item,Item revenue per location,Item revenue,Item revenue (%),Items per location,Item volume,Item volume (%),AOV,Guests,Item return rate,Item re-order rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Aramark Chicken Bowl,9cf0f29fbbe6a8aa70f146f26519c16b,5456.90,5456.90,0.0236,394.0000,394,0.0158,,0,0.0000,0.0000,2025-06-30,2025-07-27,4767.84,4767.84,0.0173,344.0000,344.0000,0.0110,,0.0000,0.0000,0.0000,689.06,0.1445,689.06,0.1445,0.0063,0.3631,50.0000,0.1453,50.0000,0.1453,0.0048,0.4314,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Harvest Chicken Bowl,9fc12ff30ff414536e6f6d0bf1d8c0ef,46.67,186.70,0.0008,4.0000,16,0.0006,,13,0.2308,0.0000,2025-06-30,2025-07-27,46.55,232.75,0.0008,6.0000,30.0000,0.0010,,18.0000,0.2778,0.0000,0.12,0.0027,-46.05,-0.1979,-0.0000,-0.0446,-2.0000,-0.3333,-14.0000,,-0.0003,-0.3333,,,-5.0000,,-0.0470,-0.1692,0.0000,0.0000
Sweet Cardamom Yogurt,41ee76536ff2c1a60482dbe87b9869c6,56.00,224.00,0.0010,20.0000,80,0.0032,,56,0.1607,0.0536,2025-06-30,2025-07-27,73.09,365.46,0.0013,21.8000,109.0000,0.0035,,87.0000,0.2069,0.0575,-17.09,-0.2338,-141.46,-0.3871,-0.0004,-0.2700,-1.8000,-0.0826,-29.0000,-0.2661,-0.0003,-0.0829,,,-31.0000,,-0.0462,-0.2232,-0.0039,-0.0679
HUNGRY Chutneys + Dressings,891121449b5ee0d83dcf43d35180c4fa,80.00,80.00,0.0003,8.0000,8,0.0003,,0,0.0000,0.0000,2025-06-30,2025-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
That Fire Hot Sauce (Bottle),7ae3bbc205a3328f25e2d5981234643d,18.00,36.00,0.0002,2.0000,4,0.0002,,3,0.0000,0.0000,2025-06-30,2025-07-27,23.74,94.95,0.0003,3.0000,12.0000,0.0004,,11.0000,0.2727,0.0000,-5.74,-0.2417,-58.95,,-0.0002,-0.5484,-1.0000,-0.3333,-8.0000,,-0.0002,-0.5844,,,-8.0000,,-0.2727,-1.0000,0.0000,0.0000
Greens + Grains Bowl,3a65db2934efc6fe92bd7535047b7ae0,721.52,2164.55,0.0094,54.6667,164,0.0066,20.72,145,0.2207,0.0621,2025-06-30,2025-07-27,1402.00,7010.02,0.0255,113.0000,565.0000,0.0181,19.11,460.0000,0.2239,0.0761,-680.49,-0.4854,-4845.47,-0.6912,-0.0161,-0.6322,-58.3333,-0.5162,-401.0000,-0.7097,-0.0116,-0.6372,1.61,0.0843,-315.0000,-0.6848,-0.0032,-0.0144,-0.0140,-0.1842
HUNGRY Chicken Tikka Masala Plate,41118118008e668ae27c453b613ba139,43.50,43.50,0.0002,3.0000,3,0.0001,,0,0.0000,0.0000,2025-06-30,2025-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masala Chai Cookies,25a7af37faf799e0226041f2b0b2e282,201.38,805.50,0.0035,92.0000,368,0.0148,93.99,227,0.2159,0.0749,2025-06-30,2025-07-27,206.22,1031.09,0.0038,97.4000,487.0000,0.0156,80.60,300.0000,0.1500,0.0367,-4.84,-0.0235,-225.59,-0.2188,-0.0003,-0.0696,-5.4000,-0.0554,-119.0000,-0.2444,-0.0009,-0.0557,13.39,0.1662,-73.0000,-0.2433,0.0659,0.4391,0.0382,1.0424
Homemade Juice,d6f19fa56665e191989db7a893806ea1,775.12,3100.50,0.0134,250.7500,1003,0.0402,21.52,766,0.1279,0.0601,2025-06-30,2025-07-27,968.94,4844.70,0.0176,340.6000,1703.0000,0.0547,21.98,1285.0000,0.1673,0.0988,-193.81,-0.2000,-1744.20,-0.3600,-0.0042,-0.2378,-89.8500,-0.2638,-700.0000,-0.4110,-0.0144,-0.2640,-0.46,-0.0211,-519.0000,-0.4039,-0.0394,-0.2354,-0.0388,-0.3924
Open Water Still Water,924a62abf03e0973f0882c9bc80cf78d,136.43,545.70,0.0024,57.7500,231,0.0093,16.45,154,0.1104,0.0325,2025-06-30,2025-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olipop - Lemon Lime,d0f6c9eca03c9e01cc39075f92426076,51.56,206.25,0.0009,16.0000,64,0.0026,,52,0.1538,0.0192,2025-06-30,2025-07-27,195.38,976.88,0.0036,53.2000,266.0000,0.0085,25.17,237.0000,0.1772,0.0422,-143.81,-0.7361,-770.63,-0.7889,-0.0027,-0.7485,-37.2000,-0.6992,-202.0000,-0.7594,-0.0060,-0.6994,,,-185.0000,-0.7806,-0.0234,-0.1319,-0.0230,-0.5442
Chocolate Chai Soft Serve,78655f7be72fdfe241f44722d389b9a0,89.50,268.50,0.0012,29.3333,88,0.0035,,52,0.2500,0.0577,2025-06-30,2025-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swirl Soft Serve,5c81ddf65ea7d6a47fd8bbbc27c484aa,36.67,110.00,0.0005,8.6667,26,0.0010,,17,0.1765,0.0588,2025-06-30,2025-07-27,82.40,412.00,0.0015,21.8000,109.0000,0.0035,,70.0000,0.1857,0.0571,-45.73,-0.5550,-302.00,-0.7330,-0.0010,-0.6820,-13.1333,-0.6024,-83.0000,-0.7615,-0.0025,-0.7019,,,-53.0000,,-0.0092,-0.0498,0.0017,0.0294
