Menu item,Menu item,Item revenue per location,Item revenue,Item revenue (%),Items per location,Item volume,Item volume (%),AOV,Guests,Item return rate,Item re-order rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Guest Services BYO Chicken Bowl,5e07490fff2518f996df46e6150467f9,657.80,657.80,0.0030,44.0000,44,0.0019,,0,0.0000,0.0000,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spindrift - Grapefruit,7eb389cafb173c3fe430a2ef7af062b5,44.99,179.95,0.0008,16.5000,66,0.0028,,60,0.0833,0.0333,2025-07-28,2025-08-24,142.06,710.29,0.0025,50.0000,250.0000,0.0078,24.99,217.0000,0.0645,0.0184,-97.07,-0.6833,-530.34,-0.7467,-0.0017,-0.6704,-33.5000,-0.6700,-184.0000,-0.7360,-0.0050,-0.6368,,,-157.0000,-0.7235,0.0188,0.2917,0.0149,0.8083
Paneer Tikka Masala,6043fb3c3e1f6c4e9e5185337e926936,374.62,1498.50,0.0069,28.5000,114,0.0049,27.25,96,0.0625,0.0521,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swirl Soft Serve,5c81ddf65ea7d6a47fd8bbbc27c484aa,50.00,150.00,0.0007,10.6667,32,0.0014,,26,0.0769,0.0385,2025-07-28,2025-08-24,64.00,320.00,0.0011,18.0000,90.0000,0.0028,,57.0000,0.1754,0.0526,-14.00,-0.2188,-170.00,-0.5312,-0.0004,-0.3902,-7.3333,-0.4074,-58.0000,,-0.0014,-0.5110,,,-31.0000,,-0.0985,-0.5615,-0.0142,-0.2692
Eurest APL Bowl,ff79c027d1167e4e0bfde60ed13c1428,770.64,770.64,0.0035,52.0000,52,0.0022,,0,0.0000,0.0000,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurest APL Premium Bowl,5a4b4337af0e6c18a29cbff816f4f90b,518.94,518.94,0.0024,31.0000,31,0.0013,,0,0.0000,0.0000,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Lassi,612a2d386edc9534c9b0c2d1c8cb2290,2933.67,11734.69,0.0540,559.2500,2237,0.0963,39.02,1529,0.0876,0.0484,2025-07-28,2025-08-24,2381.52,11907.62,0.0421,470.0000,2350.0000,0.0735,34.64,1647.0000,0.1099,0.0540,552.15,0.2318,-172.93,-0.0145,0.0119,0.2820,89.2500,0.1899,-113.0000,-0.0481,0.0228,0.3095,4.38,0.1265,-118.0000,-0.0716,-0.0223,-0.2025,-0.0056,-0.1044
Bag,f6b5ab5a96e017f867590689d1e594a0,0.20,0.20,0.0000,20.0000,20,0.0009,,20,0.1000,0.0000,2025-07-28,2025-08-24,-0.05,-0.05,-0.0000,1.0000,1.0000,0.0000,,0.0000,0.0000,0.0000,0.25,-5.0000,0.25,,0.0000,-6.2037,19.0000,19.0000,19.0000,,0.0008,26.7742,,,20.0000,,0.1000,0.0000,0.0000,0.0000
Cureate Spicy Chili Chicken Bowl,6d620f02582697b83c280be892135ddc,919.20,919.20,0.0042,80.0000,80,0.0034,,0,0.0000,0.0000,2025-07-28,2025-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurest Premium Bowl,4ef1567cd541218626cc69e94f7ef3b8,1289.12,2578.25,0.0119,80.0000,160,0.0069,,0,0.0000,0.0000,2025-07-28,2025-08-24,1674.40,5023.20,0.0178,104.0000,312.0000,0.0098,,0.0000,0.0000,0.0000,-385.27,-0.2301,-2444.95,-0.4867,-0.0059,-0.3323,-24.0000,-0.2308,-152.0000,-0.4872,-0.0029,-0.2946,,,0.0000,,0.0000,0.0000,0.0000,0.0000
Samosa Chaat,ed1b49254bb3de73aa66c7b747f245fd,430.07,1720.30,0.0079,68.7500,275,0.0118,22.40,234,0.1026,0.0427,2025-07-28,2025-08-24,466.60,2332.99,0.0083,86.4000,432.0000,0.0135,22.16,354.0000,0.1102,0.0424,-36.52,-0.0783,-612.69,-0.2626,-0.0003,-0.0407,-17.6500,-0.2043,-157.0000,-0.3634,-0.0017,-0.1243,0.24,0.0106,-120.0000,-0.3390,-0.0076,-0.0690,0.0004,0.0085
