Menu item,Menu item,Item revenue per location,Item revenue,Item revenue (%),Items per location,Item volume,Item volume (%),AOV,Guests,Item return rate,Item re-order rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Eurest APL Cookies,876494b245991dc3f32332f4d0040317,5.20,5.20,0.0000,2.0000,2,0.0001,,0,0.0000,0.0000,2025-05-26,2025-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saag Paneer,b2e5e331828a4748468e0853ec4d1f52,811.76,4058.78,0.0111,65.0000,325,0.0082,27.73,276,0.1087,0.0435,2025-05-26,2025-06-29,301.95,1509.73,0.0042,23.2000,116.0000,0.0028,29.62,107.0000,0.0748,0.0093,509.81,1.6884,2549.05,1.6884,0.0069,1.6697,41.8000,1.8017,209.0000,1.8017,0.0055,1.9562,-1.90,-0.0640,169.0000,1.5794,0.0339,0.4538,0.0341,3.6520
Chicken Tikka Masala,267c2347c906518c838773cc8332e72e,1521.17,7605.85,0.0208,109.2000,546,0.0138,25.57,465,0.1269,0.0473,2025-05-26,2025-06-29,536.47,2682.37,0.0074,40.0000,200.0000,0.0048,27.95,181.0000,0.1105,0.0387,984.70,1.8355,4923.48,1.8355,0.0134,1.8158,69.2000,1.7300,346.0000,1.7300,0.0090,1.8804,-2.38,-0.0851,284.0000,1.5691,0.0164,0.1483,0.0086,0.2234
Chicken Tikka Burrito,0ce9930d26d4eadb01c2e82930e01443,44.10,220.50,0.0006,4.0000,20,0.0005,,16,0.1875,0.0000,2025-05-26,2025-06-29,993.21,4966.04,0.0137,88.6000,443.0000,0.0106,20.42,396.0000,0.1465,0.0303,-949.11,-0.9556,-4745.54,-0.9556,-0.0131,-0.9559,-84.6000,-0.9549,-423.0000,-0.9549,-0.0101,-0.9524,,,-380.0000,-0.9596,0.0410,0.2802,-0.0303,-1.0000
Sweet Cardamom Yogurt,ce73831089aa1e7767f4bbc5146ccd31,83.30,416.50,0.0011,27.4000,137,0.0035,20.58,103,0.1650,0.0583,2025-05-26,2025-06-29,85.40,427.00,0.0012,28.8000,144.0000,0.0035,18.15,115.0000,0.1652,0.0435,-2.10,-0.0246,-10.50,-0.0246,-0.0000,-0.0314,-1.4000,-0.0486,-7.0000,-0.0486,0.0000,0.0038,2.43,0.1340,-12.0000,-0.1043,-0.0002,-0.0010,0.0148,0.3398
Spindrift - Lemon,9c741ccf6f8529297f729b75ce83a4f6,143.07,715.36,0.0020,50.4000,252,0.0064,23.95,224,0.1116,0.0446,2025-05-26,2025-06-29,176.10,880.50,0.0024,62.2000,311.0000,0.0075,21.63,269.0000,0.1338,0.0260,-33.03,-0.1876,-165.14,-0.1876,-0.0005,-0.1932,-11.8000,-0.1897,-59.0000,-0.1897,-0.0011,-0.1450,2.32,0.1072,-45.0000,-0.1673,-0.0222,-0.1660,0.0186,0.7156
Roti,c939c164798efd50698e30c2a594b2d4,5.25,21.00,0.0001,3.5000,14,0.0004,,8,0.2500,0.0000,2025-05-26,2025-06-29,6.81,34.05,0.0001,5.0000,25.0000,0.0006,,20.0000,0.1500,0.0000,-1.56,-0.2291,-13.05,,-0.0000,-0.3876,-1.5000,-0.3000,-11.0000,,-0.0002,-0.4093,,,-12.0000,,0.1000,0.6667,0.0000,0.0000
Harvest Chicken Bowl,9fc12ff30ff414536e6f6d0bf1d8c0ef,53.09,265.45,0.0007,5.2000,26,0.0007,,21,0.1429,0.0000,2025-05-26,2025-06-29,858.07,4290.37,0.0118,71.0000,355.0000,0.0085,23.04,320.0000,0.1406,0.0281,-804.98,-0.9381,-4024.92,-0.9381,-0.0111,-0.9386,-65.8000,-0.9268,-329.0000,-0.9268,-0.0079,-0.9228,,,-299.0000,-0.9344,0.0022,0.0159,-0.0281,-1.0000
Spiked Lassi - Happy Hour,8582d04a830359502c418c9cf3545971,25.00,25.00,0.0001,5.0000,5,0.0001,,4,0.0000,0.0000,2025-05-26,2025-06-29,55.00,55.00,0.0002,11.0000,11.0000,0.0003,,8.0000,0.1250,0.0000,-30.00,-0.5455,-30.00,,-0.0001,-0.5486,-6.0000,-0.5455,-6.0000,,-0.0001,-0.5189,,,-4.0000,,-0.1250,-1.0000,0.0000,0.0000
White Claw Black Cherry - Happy Hour,fe497a6fac9f4e838914884d99b98607,12.00,12.00,0.0000,4.0000,4,0.0001,,4,0.2500,0.0000,2025-05-26,2025-06-29,20.00,20.00,0.0001,5.0000,5.0000,0.0001,,5.0000,0.2000,0.0000,-8.00,-0.4000,-8.00,,-0.0000,-0.4042,-1.0000,-0.2000,-1.0000,,-0.0000,-0.1583,,,-1.0000,,0.0500,0.2500,0.0000,0.0000
