Menu item,Menu item,Item revenue per location,Item revenue,Item revenue (%),Items per location,Item volume,Item volume (%),AOV,Guests,Item return rate,Item re-order rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Fooda Chicken Tikka Masala,f42a31800b7654005951d0bca2dbb49d,99.54,199.08,0.0001,7.0000,14,0.0001,,0,0.0000,0.0000,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chai Chocolate Chip Cookie Basket,352c0c62a7a4766dccda8bfa12f76d1c,0.00,0.00,0.0000,1.0000,2,0.0000,,0,0.0000,0.0000,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Samosas,adb32f1bdc98ccdf3a40e53c1eb1948f,5465.99,27329.95,0.0132,2150.4000,10752,0.0476,21.30,7390,0.2068,0.0995,2025-01-02,2025-08-25,6114.26,30571.31,0.0139,2433.2000,12166.0000,0.0478,21.95,8228.0000,0.2105,0.0971,-648.27,-0.1060,-3241.36,-0.1060,-0.0007,-0.0507,-282.8000,-0.1162,-1414.0000,-0.1162,-0.0002,-0.0036,-0.65,-0.0295,-838.0000,-0.1018,-0.0037,-0.0175,0.0024,0.0248
Chicken Tikka + Avocado Salad,0728e0a55ce8f942b4f93af58819db09,8066.47,40332.34,0.0195,588.2000,2941,0.0130,24.68,2220,0.1842,0.0823,2025-01-02,2025-08-25,10113.50,50567.52,0.0231,820.4000,4102.0000,0.0161,22.86,3125.0000,0.1898,0.0762,-2047.04,-0.2024,-10235.18,-0.2024,-0.0035,-0.1530,-232.2000,-0.2830,-1161.0000,-0.2830,-0.0031,-0.1917,1.82,0.0798,-905.0000,-0.2896,-0.0055,-0.0292,0.0061,0.0801
Masala Chai,65f3d39b3b905d8708692e1987f25b8f,1290.05,6450.25,0.0031,272.2000,1361,0.0060,22.47,972,0.1329,0.0473,2025-01-02,2025-08-25,962.07,4810.37,0.0022,241.8000,1209.0000,0.0047,20.61,909.0000,0.1606,0.0341,327.98,0.3409,1639.88,0.3409,0.0009,0.4239,30.4000,0.1257,152.0000,0.1257,0.0013,0.2693,1.86,0.0902,63.0000,0.0693,-0.0277,-0.1723,0.0132,0.3860
Samosa Chaat,ed1b49254bb3de73aa66c7b747f245fd,3235.66,16178.31,0.0078,586.4000,2932,0.0130,20.96,2189,0.1999,0.0985,2025-01-02,2025-08-25,3125.92,15629.58,0.0071,577.2000,2886.0000,0.0113,21.39,2267.0000,0.1817,0.0820,109.75,0.0351,548.73,0.0351,0.0007,0.0992,9.2000,0.0159,46.0000,0.0159,0.0016,0.1455,-0.44,-0.0204,-78.0000,-0.0344,0.0181,0.0997,0.0165,0.2005
Side of Sauce,32614679d8cded9c7fb9f39d0de52643,137.70,688.50,0.0003,28.2000,141,0.0006,24.69,119,0.1918,0.0137,2025-01-02,2025-08-25,117.08,585.39,0.0003,24.6000,123.0000,0.0005,27.50,102.0000,0.2451,0.0490,20.62,0.1761,103.11,0.1761,0.0001,0.2489,3.6000,0.1463,18.0000,0.1463,0.0001,0.2919,-2.81,-0.1021,17.0000,0.1667,-0.0533,-0.2175,-0.0353,-0.7205
Chocolate Chai Soft Serve,78655f7be72fdfe241f44722d389b9a0,491.10,2455.50,0.0012,152.4000,762,0.0034,8.82,424,0.2830,0.0792,2025-01-02,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
That Fire Hot Sauce (Bottle),7ae3bbc205a3328f25e2d5981234643d,82.80,414.00,0.0002,9.2000,46,0.0002,,38,0.2083,0.0000,2025-01-02,2025-08-25,227.70,1138.50,0.0005,26.0000,130.0000,0.0005,25.51,112.0000,0.3125,0.0179,-144.90,-0.6364,-724.50,-0.6364,-0.0003,-0.6139,-16.8000,-0.6462,-84.0000,-0.6462,-0.0003,-0.6000,,,-74.0000,-0.6607,-0.1042,-0.3333,-0.0179,-1.0000
Territory Coconut Curry Chickpeas,56c1e2887ea6a5737fd62057b175a642,745.68,745.68,0.0004,104.0000,104,0.0005,,0,0.0000,0.0000,2025-01-02,2025-08-25,896.25,896.25,0.0004,125.0000,125.0000,0.0005,,0.0000,0.0000,0.0000,-150.57,-0.1680,-150.57,-0.1680,-0.0000,-0.1165,-21.0000,-0.1680,-21.0000,-0.1680,-0.0000,-0.0631,,,0.0000,,0.0000,0.0000,0.0000,0.0000
