"period","menu","item_name","item_name_updated","menu_group","category_1","category_2","avg_cost","loaded_at"
"P01-2026","IN-HOUSE","Open Water Still Water","Open Water Still Water","Cold Drinks","Open Water Still Water","Water",1.1700,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Spindrift - Grapefruit","Spindrift - Grapefruit","Cold Drinks","Spindrift","Spindrift",1.1200,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Fresh Young Coconut","Fresh Young Coconut","Cold Drinks","Fresh Young Coconut","Fresh Young Coconut",3.3300,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","LaCroix - Grapefruit","LaCroix - Grapefruit","Cold Drinks","LaCroix","LaCroix",0.6200,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Strawberry Lassi","Strawberry Lassi","Cold Drinks","Strawberry Lassi","Strawberry Lassi",1.3200,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Mont Gravet Rose-gl","Mont Gravet Rose-gl","Wine","Mont Gravet Rose-gl","Mont Gravet Rose-gl",1.6800,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Borsao Granache-gl","Borsao Granache-gl","Wine","Borsao Granache-gl","Borsao Granache-gl",1.6500,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Indaba Sauvignon Blanc-gl","Indaba Sauvignon Blanc-gl","Wine","Indaba Sauvignon Blanc-gl","Indaba Sauvignon Blanc-gl",1.5500,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Indaba Sauvignon Blanc Bottle","Indaba Sauvignon Blanc Bottle","Wine","Indaba Sauvignon Blanc Bottle","Indaba Sauvignon Blanc Bottle",6.5400,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Mont Gravet Rose Bottle","Mont Gravet Rose Bottle","Wine","Mont Gravet Rose Bottle","Mont Gravet Rose Bottle",7.1000,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Spiked Coconut","Spiked Coconut","Liquor","Spiked Coconut","Spiked Coconut",4.2000,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Spiked Lassi","Spiked Lassi","Liquor","Spiked Lassi","Spiked Lassi",1.2400,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Mumbai Mule","Mumbai Mule","Liquor","Mumbai Mule","Mumbai Mule",1.8800,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Masala Chai - Oat Milk","Masala Chai - Oat Milk","Hot Drinks","Masala Chai","Masala Chai",1.8300,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Masala Chai","Masala Chai","Hot Drinks","Masala Chai","Masala Chai",1.5000,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","BYO Grain Bowl","BYO Grain Bowl","BUILD YOUR OWN BOWL","BYO Bowl","Bowls",0.6100,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","BYO Greens + Grains Bowl","BYO Greens + Grains Bowl","BUILD YOUR OWN BOWL","BYO Bowl","Bowls",0.6100,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","BYO Salad Bowl","BYO Salad Bowl","BUILD YOUR OWN BOWL","BYO Bowl","Bowls",0.6100,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Kids Meal","Kids Meal","KIDS","Kids Meal","KIDS",1.0500,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Chicken Tikka Bowl","Chicken Tikka Bowl","BOWLS","Chicken Tikka Bowl","Bowls",0.6100,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Paneer Tikka Bowl","Paneer Tikka Bowl","BOWLS","Paneer Tikka Bowl","Bowls",0.6100,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Chicken Tikka + Avocado Salad","Chicken Tikka + Avocado Salad","BOWLS","Chicken Tikka + Avocado Salad","Bowls",0.6100,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Spicy Chili Chicken Bowl","Spicy Chili Chicken Bowl","BOWLS","Spicy Chili Chicken Bowl","Bowls",0.6100,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Cauliflower + Quinoa Bowl","Cauliflower + Quinoa Bowl","BOWLS","Cauliflower + Quinoa Bowl","Bowls",0.6100,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Lamb Kebab Bowl","Lamb Kebab Bowl","BOWLS","Lamb Kebab Bowl","Bowls",0.6100,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Chicken Tikka Masala","Chicken Tikka Masala","PLATES","Chicken Tikka Masala","Plates",3.1300,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Aloo Gobhi","Aloo Gobhi","PLATES","Aloo Gobhi","Plates",2.1400,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Saag Paneer","Saag Paneer","PLATES","Saag Paneer","Plates",2.7000,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Paneer Butter Masala","Paneer Butter Masala","PLATES","Paneer Butter Masala","Plates",3.6700,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Butter Chicken","Butter Chicken","PLATES","Butter Chicken","Plates",3.2300,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Tandoori Paneer Burrito","Tandoori Paneer Burrito","BURRITOS","Tandoori Paneer Burrito","Burritos",1.0300,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","BYO Indian Burrito","BYO Indian Burrito","BURRITOS","BYO Indian Burrito","Burritos",1.0300,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Butter Chicken Burrito","Butter Chicken Burrito","BURRITOS","Butter Chicken Burrito","Burritos",1.0300,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Masala Chai Cookies","Masala Chai Cookies","SWEETS","Masala Chai Cookies","Masala Chai Cookies",0.3300,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Indian Yogurt","Indian Yogurt","SWEETS","Indian Yogurt","Indian Yogurt",,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Open Water Sparkling Water","Open Water Sparkling Water","DRINKS","Open Water Sparkling Water","Water",1.1700,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Open Water Still Water","Open Water Still Water","DRINKS","Open Water Still Water","Water",1.1700,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Spindrift - Lemon","Spindrift - Lemon","DRINKS","Spindrift","Spindrift",1.1200,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Iced Oat Masala Chai","Iced Oat Masala Chai","DRINKS","Masala Chai","Masala Chai",1.8100,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Mango Lassi","Mango Lassi","DRINKS","Mango Lassi","Mango Lassi",1.5100,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Masala Chai - Oat Milk","Masala Chai - Oat Milk","DRINKS","Masala Chai","Masala Chai",1.8300,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Wild Kombucha - Ginger","Wild Kombucha - Ginger","DRINKS","Kombucha","Kombucha",2.4800,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Wild Kombucha - Mango Peach","Wild Kombucha - Mango Peach","DRINKS","Kombucha","Kombucha",2.4800,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Homemade Juice","Homemade Juice","DRINKS","Homemade Juice","Homemade Juice",,"2026-07-02 18:14:13.812612+00"
"P04-2026","DELIVERY","BYO Grain Bowl","BYO Grain Bowl","BUILD YOUR OWN BOWL","BYO Bowl","Bowls",0.6100,"2026-07-02 18:14:15.925061+00"
"P04-2026","DELIVERY","BYO Greens + Grains Bowl","BYO Greens + Grains Bowl","BUILD YOUR OWN BOWL","BYO Bowl","Bowls",0.6100,"2026-07-02 18:14:15.925061+00"
"P04-2026","DELIVERY","BYO Salad Bowl","BYO Salad Bowl","BUILD YOUR OWN BOWL","BYO Bowl","Bowls",0.6100,"2026-07-02 18:14:15.925061+00"
"P04-2026","DELIVERY","Chicken Tikka Bowl","Chicken Tikka Bowl","BOWLS","Chicken Tikka Bowl","Bowls",0.6100,"2026-07-02 18:14:15.925061+00"
"P04-2026","DELIVERY","Paneer Tikka Bowl","Paneer Tikka Bowl","BOWLS","Paneer Tikka Bowl","Bowls",0.6100,"2026-07-02 18:14:15.925061+00"
"P04-2026","DELIVERY","Spicy Chili Chicken Bowl","Spicy Chili Chicken Bowl","BOWLS","Spicy Chili Chicken Bowl","Bowls",0.6100,"2026-07-02 18:14:15.925061+00"
"P04-2026","DELIVERY","Lamb Kebab Bowl","Lamb Kebab Bowl","BOWLS","Lamb Kebab Bowl","Bowls",0.6100,"2026-07-02 18:14:15.925061+00"
"P04-2026","DELIVERY","Spiced Cauli + Quinoa Bowl","Spiced Cauli + Quinoa Bowl","BOWLS","Cauliflower + Quinoa Bowl","Bowls",0.6100,"2026-07-02 18:14:15.925061+00"
"P04-2026","DELIVERY","Chicken Tikka + Avocado Salad","Chicken Tikka + Avocado Salad","BOWLS","Chicken Tikka + Avocado Salad","Bowls",0.6100,"2026-07-02 18:14:15.925061+00"
"P04-2026","DELIVERY","Open Water Still Water","Open Water Still Water","DRINKS","Open Water Still Water","Water",1.2600,"2026-07-02 18:14:15.925061+00"
"P04-2026","DELIVERY","Homemade Juice","Homemade Juice","DRINKS","Homemade Juice","Homemade Juice",,"2026-07-02 18:14:15.925061+00"
"P03-2026","APP","Olipop - Cola","Olipop - Cola","DRINKS","Olipop","Olipop",1.8600,"2026-07-02 18:14:15.577311+00"
"P02-2026","DELIVERY","BYO Grain Bowl","BYO Grain Bowl","BUILD YOUR OWN BOWL","BYO Bowl","Bowls",0.6100,"2026-07-02 18:14:15.115284+00"
"P02-2026","DELIVERY","BYO Greens + Grains Bowl","BYO Greens + Grains Bowl","BUILD YOUR OWN BOWL","BYO Bowl","Bowls",0.6100,"2026-07-02 18:14:15.115284+00"
"P02-2026","DELIVERY","BYO Salad Bowl","BYO Salad Bowl","BUILD YOUR OWN BOWL","BYO Bowl","Bowls",0.6100,"2026-07-02 18:14:15.115284+00"
"P02-2026","DELIVERY","Chicken Tikka Bowl","Chicken Tikka Bowl","BOWLS","Chicken Tikka Bowl","Bowls",0.6100,"2026-07-02 18:14:15.115284+00"
"P02-2026","DELIVERY","Lamb Kebab Bowl","Lamb Kebab Bowl","BOWLS","Lamb Kebab Bowl","Bowls",0.6100,"2026-07-02 18:14:15.115284+00"
"P02-2026","DELIVERY","Paneer Tikka Bowl","Paneer Tikka Bowl","BOWLS","Paneer Tikka Bowl","Bowls",0.6100,"2026-07-02 18:14:15.115284+00"
"P02-2026","DELIVERY","Chicken Tikka + Avocado Salad","Chicken Tikka + Avocado Salad","BOWLS","Chicken Tikka + Avocado Salad","Bowls",0.6100,"2026-07-02 18:14:15.115284+00"
"P02-2026","DELIVERY","Spicy Chili Chicken Bowl","Spicy Chili Chicken Bowl","BOWLS","Spicy Chili Chicken Bowl","Bowls",0.6100,"2026-07-02 18:14:15.115284+00"
"P02-2026","DELIVERY","Spiced Cauli + Quinoa Bowl","Spiced Cauli + Quinoa Bowl","BOWLS","Cauliflower + Quinoa Bowl","Bowls",0.6100,"2026-07-02 18:14:15.115284+00"
"P02-2026","DELIVERY","Chicken Tikka Masala","Chicken Tikka Masala","PLATES","Chicken Tikka Masala","Plates",3.2200,"2026-07-02 18:14:15.115284+00"
"P02-2026","DELIVERY","Paneer Tikka Masala","Paneer Tikka Masala","PLATES","Paneer Tikka Masala","Plates",3.5300,"2026-07-02 18:14:15.115284+00"
"P02-2026","DELIVERY","Aloo Gobhi","Aloo Gobhi","PLATES","Aloo Gobhi","Plates",2.3900,"2026-07-02 18:14:15.115284+00"
"P02-2026","DELIVERY","Lamb Kofta Korma","Lamb Kofta Korma","PLATES","Lamb Kofta Korma","Plates",4.3700,"2026-07-02 18:14:15.115284+00"
"P02-2026","DELIVERY","Saag Paneer","Saag Paneer","PLATES","Saag Paneer","Plates",2.7000,"2026-07-02 18:14:15.115284+00"
"P02-2026","DELIVERY","Paneer Butter Masala","Paneer Butter Masala","PLATES","Paneer Butter Masala","Plates",3.5200,"2026-07-02 18:14:15.115284+00"
"P02-2026","DELIVERY","Butter Chicken","Butter Chicken","PLATES","Butter Chicken","Plates",3.2200,"2026-07-02 18:14:15.115284+00"
"P02-2026","DELIVERY","Pick 2 Combo Plate","Pick 2 Combo Plate","PLATES","Pick 2 Combo Plate","Plates",0.8000,"2026-07-02 18:14:15.115284+00"
"P04-2026","APP","Iced Oat Masala Chai","Iced Oat Masala Chai","DRINKS","Masala Chai","Masala Chai",1.9300,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Olipop - Cola","Olipop - Cola","DRINKS","Olipop","Olipop",1.8600,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Homemade Juice","Homemade Juice","DRINKS","Homemade Juice","Homemade Juice",,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Spindrift - Lemon","Spindrift - Lemon","DRINKS","Spindrift","Spindrift",1.1600,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Open Water Still Water","Open Water Still Water","DRINKS","Open Water Still Water","Water",1.2600,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Open Water Sparkling Water","Open Water Sparkling Water","DRINKS","Open Water Sparkling Water","Water",1.1900,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Spindrift - Grapefruit","Spindrift - Grapefruit","DRINKS","Spindrift","Spindrift",1.1200,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Maine Root Fountain Soda","Maine Root Fountain Soda","DRINKS","Maine Root Fountain Soda","Canned Soda",0.3600,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","BYO Grain Bowl","BYO Grain Bowl","BUILD YOUR OWN BOWL","BYO Bowl","Bowls",0.6100,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","BYO Salad Bowl","BYO Salad Bowl","BUILD YOUR OWN BOWL","BYO Bowl","Bowls",0.6100,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","BYO Greens + Grains Bowl","BYO Greens + Grains Bowl","BUILD YOUR OWN BOWL","BYO Bowl","Bowls",0.6100,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Garlic Naan","Garlic Naan","SIDES","Garlic Naan","Garlic Naan",0.5900,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Cucumber Raita","Cucumber Raita","SIDES","Cucumber Raita","Cucumber Raita",0.4200,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Samosa Chaat","Samosa Chaat","SIDES","Samosa Chaat","Samosa Chaat",2.2300,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","That Fire Hot Sauce (Bottle)","That Fire Hot Sauce (Bottle)","SIDES","That Fire Hot Sauce (Bottle)","That Fire Hot Sauce (Bottle)",3.3800,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Mini Samosas","Mini Samosas","SIDES","Mini Samosas","Mini Samosas",1.1600,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Naan","Naan","SIDES","Naan","Naan",0.4900,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Side of Veggie","Side of Veggie","SIDES","Side of Veggie","Side of Veggie",,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Side of Grain","Side of Grain","SIDES","Side of Grain","Side of Grain",,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Side of Main","Side of Main","SIDES","Side of Main","Side of Main",,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","That Fire Hot Sauce - Side","That Fire Hot Sauce - Side","SIDES","That Fire Hot Sauce - Side","That Fire Hot Sauce - Side",0.4400,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Side of Sauce","Side of Sauce","SIDES","Side of Sauce","Side of Sauce",,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Butter Chicken Burrito","Butter Chicken Burrito","INDIAN BURRITOS","Butter Chicken Burrito","Burritos",1.0900,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Tandoori Paneer Burrito","Tandoori Paneer Burrito","INDIAN BURRITOS","Tandoori Paneer Burrito","Burritos",1.0900,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","BYO Indian Burrito","BYO Indian Burrito","INDIAN BURRITOS","BYO Indian Burrito","Burritos",1.0900,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Butter Chicken","Butter Chicken","CLASSIC INDIAN PLATES","Butter Chicken","Plates",3.4300,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Chicken Tikka Masala","Chicken Tikka Masala","CLASSIC INDIAN PLATES","Chicken Tikka Masala","Plates",3.4200,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Aloo Gobhi","Aloo Gobhi","CLASSIC INDIAN PLATES","Aloo Gobhi","Plates",2.8300,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Paneer Butter Masala","Paneer Butter Masala","CLASSIC INDIAN PLATES","Paneer Butter Masala","Plates",3.5400,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Saag Paneer","Saag Paneer","CLASSIC INDIAN PLATES","Saag Paneer","Plates",2.7300,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Sweet Cardamom Yogurt","Sweet Cardamom Yogurt","SWEETS","Sweet Cardamom Yogurt","Sweet Cardamom Yogurt",0.8100,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Masala Chai Cookies","Masala Chai Cookies","SWEETS","Masala Chai Cookies","Masala Chai Cookies",0.3300,"2026-07-02 18:14:15.925061+00"
"P04-2026","APP","Kids Meal","Kids Meal","KIDS","Kids Meal","KIDS",1.0500,"2026-07-02 18:14:15.925061+00"
"P04-2026","DRINKS - IN HOUSE","Rupee Lager","Rupee Lager","Beer","Rupee Lager","Rupee Lager",1.9500,"2026-07-02 18:14:15.925061+00"
"P04-2026","DRINKS - IN HOUSE","Sixpoint Bengali IPA","Sixpoint Bengali IPA","Beer","Sixpoint Bengali IPA","Sixpoint Bengali IPA",1.3500,"2026-07-02 18:14:15.925061+00"
"P04-2026","DRINKS - IN HOUSE","DC Brau Pils","DC Brau Pils","Beer","DC Brau Pils","DC Brau Pils",1.5500,"2026-07-02 18:14:15.925061+00"
"P04-2026","DRINKS - IN HOUSE","Kingfisher","Kingfisher","Beer","Kingfisher","Kingfisher",1.5200,"2026-07-02 18:14:15.925061+00"
"P04-2026","DRINKS - IN HOUSE","White Claw Ruby Grapefruit","White Claw Ruby Grapefruit","Beer","White Claw Ruby Grapefruit","White Claw Ruby Grapefruit",1.4900,"2026-07-02 18:14:15.925061+00"
"P04-2026","DRINKS - IN HOUSE","White Claw Black Cherry","White Claw Black Cherry","Beer","White Claw Black Cherry","White Claw Black Cherry",1.4600,"2026-07-02 18:14:15.925061+00"
"P04-2026","DRINKS - IN HOUSE","Pabst Blue Ribbon","Pabst Blue Ribbon","Beer","Pabst Blue Ribbon","Pabst Blue Ribbon",0.9900,"2026-07-02 18:14:15.925061+00"
"P02-2026","DELIVERY","Naan","Naan","SIDES","Naan","Naan",0.4700,"2026-07-02 18:14:15.115284+00"
"P01-2026","DELIVERY","Spindrift - Grapefruit","Spindrift - Grapefruit","DRINKS","Spindrift","Spindrift",1.1200,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Olipop - Lemon Lime","Olipop - Lemon Lime","DRINKS","Olipop","Olipop",1.9300,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Masala Chai","Masala Chai","DRINKS","Masala Chai","Masala Chai",1.5000,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Maine Root Fountain Soda","Maine Root Fountain Soda","DRINKS","Maine Root Fountain Soda","Canned Soda",0.3600,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Olipop - Root Beer","Olipop - Root Beer","DRINKS","Olipop","Olipop",2.1600,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Olipop Cola","Olipop Cola","DRINKS","Olipop","Olipop",1.9500,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Icaro - Spearmint Yerba Mate","Icaro - Spearmint Yerba Mate","DRINKS","Icaro - Spearmint Yerba Mate","Icaro - Spearmint Yerba Mate",2.1200,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Mini Samosas","Mini Samosas","SIDES","Mini Samosas","Mini Samosas",1.1700,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Naan","Naan","SIDES","Naan","Naan",0.4900,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Cucumber Raita","Cucumber Raita","SIDES","Cucumber Raita","Cucumber Raita",0.4800,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","That Fire Hot Sauce - Side","That Fire Hot Sauce - Side","SIDES","That Fire Hot Sauce - Side","That Fire Hot Sauce - Side",0.4400,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Garlic Naan","Garlic Naan","SIDES","Garlic Naan","Garlic Naan",0.6000,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Samosa Chaat","Samosa Chaat","SIDES","Samosa Chaat","Samosa Chaat",2.3700,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Chips + Chutney","Chips + Chutney","SIDES","Chips + Chutney","Chips + Chutney",0.7400,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Side of Sauce","Side of Sauce","SIDES","Side of Sauce","Side of Sauce",,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Side of Main","Side of Main","SIDES","Side of Main","Side of Main",,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Side of Grain","Side of Grain","SIDES","Side of Grain","Side of Grain",,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","Side of Veggie","Side of Veggie","SIDES","Side of Veggie","Side of Veggie",,"2026-07-02 18:14:13.812612+00"
"P01-2026","DELIVERY","That Fire Hot Sauce (Bottle)","That Fire Hot Sauce (Bottle)","SIDES","That Fire Hot Sauce (Bottle)","That Fire Hot Sauce (Bottle)",3.4000,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Garlic Naan","Garlic Naan","SIDES","Garlic Naan","Garlic Naan",0.6000,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Mini Samosas","Mini Samosas","SIDES","Mini Samosas","Mini Samosas",1.1700,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Samosa Chaat","Samosa Chaat","SIDES","Samosa Chaat","Samosa Chaat",2.3700,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Side of Main","Side of Main","SIDES","Side of Main","Side of Main",,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","That Fire Hot Sauce (Bottle)","That Fire Hot Sauce (Bottle)","SIDES","That Fire Hot Sauce (Bottle)","That Fire Hot Sauce (Bottle)",3.4000,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Cucumber Raita","Cucumber Raita","SIDES","Cucumber Raita","Cucumber Raita",0.4800,"2026-07-02 18:14:13.812612+00"
"P05-2026","FOOD - IN HOUSE","BYO Salad Bowl - In House","BYO Salad Bowl","BYO","BYO Bowl","Bowls",2.0987,"2026-07-02 18:14:16.228504+00"
"P05-2026","FOOD - IN HOUSE","BYO Grain Bowl - In House","BYO Grain Bowl","BYO","BYO Bowl","Bowls",1.7222,"2026-07-02 18:14:16.228504+00"
"P05-2026","FOOD - IN HOUSE","BYO Greens + Grains Bowl - In House","BYO Greens + Grains Bowl","BYO","BYO Bowl","Bowls",1.7722,"2026-07-02 18:14:16.228504+00"
"P05-2026","FOOD - IN HOUSE","Burrito - In House","BYO Indian Burrito","BYO","BYO Indian Burrito","Burritos",3.2442,"2026-07-02 18:14:16.228504+00"
"P05-2026","FOOD - IN HOUSE","Chicken Tikka Bowl - In House","Chicken Tikka Bowl","BOWLS","Chicken Tikka Bowl","Bowls",2.8794,"2026-07-02 18:14:16.228504+00"
"P05-2026","FOOD - IN HOUSE","Spicy Chili Chicken Bowl - In House","Spicy Chili Chicken Bowl","BOWLS","Spicy Chili Chicken Bowl","Bowls",2.9094,"2026-07-02 18:14:16.228504+00"
"P05-2026","FOOD - IN HOUSE","Lamb Kebab Bowl - In House","Lamb Kebab Bowl","BOWLS","Lamb Kebab Bowl","Bowls",3.7851,"2026-07-02 18:14:16.228504+00"
"P05-2026","FOOD - IN HOUSE","Paneer Tikka Bowl - In House","Paneer Tikka Bowl","BOWLS","Paneer Tikka Bowl","Bowls",3.3106,"2026-07-02 18:14:16.228504+00"
