"period","menu","item_name","item_name_updated","menu_group","category_1","category_2","avg_cost","loaded_at"
"P03-2026","DELIVERY","BYO Grain Bowl","BYO Grain Bowl","BUILD YOUR OWN BOWL","BYO Bowl","Bowls",0.6100,"2026-07-02 18:14:15.577311+00"
"P01-2026","IN-HOUSE","Homemade Juice","Homemade Juice","Cold Drinks","Homemade Juice","Homemade Juice",,"2026-07-02 18:14:13.812612+00"
"P03-2026","DRINKS - IN HOUSE","Maine Root Fountain Soda - In House","Maine Root Fountain Soda","Cold Drinks","Maine Root Fountain Soda","Canned Soda",0.3600,"2026-07-02 18:14:15.577311+00"
"P01-2026","IN-HOUSE","Wild Kombucha - Mango Peach","Wild Kombucha - Mango Peach","Cold Drinks","Kombucha","Kombucha",2.4800,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Olipop - Lemon Lime","Olipop - Lemon Lime","Cold Drinks","Olipop","Olipop",1.9300,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Olipop - Root Beer","Olipop - Root Beer","Cold Drinks","Olipop","Olipop",2.1600,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","LaCroix - Lime","LaCroix - Lime","Cold Drinks","LaCroix","LaCroix",0.6100,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Spindrift - Lemon","Spindrift - Lemon","Cold Drinks","Spindrift","Spindrift",1.1200,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Open Water Sparkling Water","Open Water Sparkling Water","Cold Drinks","Open Water Sparkling Water","Water",1.1700,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Iced Oat Masala Chai","Iced Oat Masala Chai","Cold Drinks","Masala Chai","Masala Chai",1.8100,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Wild Kombucha - Ginger","Wild Kombucha - Ginger","Cold Drinks","Kombucha","Kombucha",2.4800,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Maine Root Fountain Soda - In House","Maine Root Fountain Soda","Cold Drinks","Maine Root Fountain Soda","Canned Soda",0.3600,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Mango Lassi","Mango Lassi","Cold Drinks","Mango Lassi","Mango Lassi",1.5100,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Olipop Cola","Olipop Cola","Cold Drinks","Olipop","Olipop",1.9500,"2026-07-02 18:14:13.812612+00"
"P01-2026","IN-HOUSE","Icaro - Spearmint Yerba Mate","Icaro - Spearmint Yerba Mate","Cold Drinks","Icaro - Spearmint Yerba Mate","Icaro - Spearmint Yerba Mate",2.1200,"2026-07-02 18:14:13.812612+00"
