"period","recipe_name","clean_name","portion_unit","cogs_account","total_cost","cost_per_portion","loaded_at"
"P02-2026","MI HUNGRY Chicken Tikka","HUNGRY Chicken Tikka","Each",,14.8760,14.8760,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Chicken Tikka + Avocado Salad","HUNGRY Chicken Tikka + Avocado Salad","Each",,2.9437,2.9437,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Chicken Tikka Noodle Bowl","HUNGRY Chicken Tikka Noodle Bowl","Each",,3.0502,3.0502,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Chicken Tikka Rice Bowl","HUNGRY Chicken Tikka Rice Bowl","Each",,2.9071,2.9071,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Coconut Ginger Sauce","HUNGRY Coconut Ginger Sauce","Each",,7.0207,7.0207,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Coriander Chili","HUNGRY Coriander Chili","Each",,8.6797,8.6797,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Cucumber Cubes","HUNGRY Cucumber Cubes","Each",,3.4124,3.4124,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Garlic Naan","HUNGRY Garlic Naan","Each",,0.5935,0.5935,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Ginger Shrimp Bowl","HUNGRY Ginger Shrimp Bowl","Each",,5.1505,5.1505,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Ginger Tamarind","HUNGRY Ginger Tamarind","Each",,7.5190,7.5190,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Harvest Veggies","HUNGRY Harvest Veggies","Each",,18.1293,18.1293,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY House Vinaigrette","HUNGRY House Vinaigrette","Each",,3.2724,3.2724,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Indian Street Corn","HUNGRY Indian Street Corn","Each",,0.9340,0.9340,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Indian Yogurt","HUNGRY Indian Yogurt","Each",,5.3840,5.3840,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Kachumber Salad","HUNGRY Kachumber Salad","Each",,3.8534,3.8534,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Kokum Vinaigrette","HUNGRY Kokum Vinaigrette","Each",,2.8262,2.8262,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Lamb Kebab Bowl","HUNGRY Lamb Kebab Bowl","Each",,3.8892,3.8892,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Lamb Kebab Meatballs","HUNGRY Lamb Kebab Meatballs","Each",,26.4026,26.4026,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Lemon Turmeric Rice","HUNGRY Lemon Turmeric Rice","Each",,1.9850,1.9850,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Masala Beets","HUNGRY Masala Beets","Each",,7.7002,7.7002,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Mint Cilantro Chutney","HUNGRY Mint Cilantro Chutney","Each",,4.9604,4.9604,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Peanut Sesame","HUNGRY Peanut Sesame","Each",,4.5994,4.5994,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Pickled Onions","HUNGRY Pickled Onions","Each",,2.1518,2.1518,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Pickled Radishes","HUNGRY Pickled Radishes","Each",,1.4778,1.4778,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Roasted Lentils","HUNGRY Roasted Lentils","Each",,0.6113,0.6113,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Sautéed Spinach","HUNGRY Sautéed Spinach","Each",,7.7318,7.7318,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Sexygreens","HUNGRY Sexygreens","Each",,11.1039,11.1039,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY South Indian Rice Noodles","HUNGRY South Indian Rice Noodles","Each",,4.1972,4.1972,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Spiced Chickpeas","HUNGRY Spiced Chickpeas","Each",,2.7096,2.7096,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Spicy Chili Chicken","HUNGRY Spicy Chili Chicken","Each",,14.7533,14.7533,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Spicy Chili Chicken Bowl","HUNGRY Spicy Chili Chicken Bowl","Each",,2.9987,2.9987,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Sweet Potato Bowl","HUNGRY Sweet Potato Bowl","Each",,2.5740,2.5740,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Sweet Potato Tikki","HUNGRY Sweet Potato Tikki","Each",,5.1465,5.1465,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Tamarind Chili Sauce","HUNGRY Tamarind Chili Sauce","Each",,6.1431,6.1431,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Tandoori Paneer","HUNGRY Tandoori Paneer","Each",,14.7814,14.7814,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Tandoori Paneer Bowl","HUNGRY Tandoori Paneer Bowl","Each",,3.4650,3.4650,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Test 1","HUNGRY Test 1","Each",,1.8013,1.8013,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Test 2","HUNGRY Test 2","Each",,1.9373,1.9373,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Test 3","HUNGRY Test 3","Each",,5.8200,5.8200,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Test 5","HUNGRY Test 5","Each",,1.5297,1.5297,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Test 6","HUNGRY Test 6","Each",,443.3636,443.3636,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Test Saag Makai","HUNGRY Test Saag Makai","Each",,9.1608,9.1608,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Tikka Chance On Me","HUNGRY Tikka Chance On Me","Each",,2.9071,2.9071,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Toasted Cumin Yogurt","HUNGRY Toasted Cumin Yogurt","Each",,2.6344,2.6344,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Tomato Garlic Sauce","HUNGRY Tomato Garlic Sauce","Each",,6.3749,6.3749,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Tossed Green Beans","HUNGRY Tossed Green Beans","Each",,18.5238,18.5238,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI HUNGRY Turmeric Ginger Shrimp","HUNGRY Turmeric Ginger Shrimp","Each",,35.1969,35.1969,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Icaro Spearmint Yerba Mate","Icaro Spearmint Yerba Mate","Each",,2.1200,2.1200,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Iced Oat Milk Masala Chai","Iced Oat Milk Masala Chai","Each",,1.8192,1.8192,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Iced Oat Milk Masala Chai - 1 Gallon","Iced Oat Milk Masala Chai - 1 Gallon","Each",,21.4836,21.4836,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Iced Oat Milk Masala Chai - 1/2 Gallon","Iced Oat Milk Masala Chai - 1/2 Gallon","Each",,12.0400,12.0400,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Iced Oat Milk Masala Chai - OLD","Iced Oat Milk Masala Chai - OLD","Inactive",,1.8192,1.8192,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Indaba Sauvignon Blanc - bottle","Indaba Sauvignon Blanc - bottle","Each",,6.1807,6.1807,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Indaba Sauvignon Blanc - glass","Indaba Sauvignon Blanc - glass","Each",,1.4623,1.4623,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Indian Burrito Box for 9 - Catering","Indian Burrito Box for 9 - Catering","Each",,2.2980,2.2980,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Indian Street Corn","Indian Street Corn","Each",,0.0117,0.0117,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Indian Street Corn - Classic","Indian Street Corn - Classic","Each",,0.0140,0.0140,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Indian Street Corn - Desi Deluxe","Indian Street Corn - Desi Deluxe","Each",,0.0131,0.0131,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Indian Street Corn - Party Pack","Indian Street Corn - Party Pack","Each",,0.0163,0.0163,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Indian Yogurt","Indian Yogurt","Each",,0.9027,0.9027,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Kachumber Salad","Kachumber Salad","Each",,0.0482,0.0482,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Kachumber Salad - Classic","Kachumber Salad - Classic","Each",,0.0578,0.0578,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Kachumber Salad - Desi Deluxe","Kachumber Salad - Desi Deluxe","Each",,0.0539,0.0539,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Kachumber Salad - Party Pack","Kachumber Salad - Party Pack","Each",,0.0674,0.0674,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Kids Meal - In House","Kids Meal - In House","Each",,0.9310,0.9310,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Kids Meal - Online","Kids Meal - Online","Each",,1.0244,1.0244,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Kingfisher 1 bottle","Kingfisher 1 bottle","Each",,1.5583,1.5583,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Kokum Punch","Kokum Punch","Each",,0.5887,0.5887,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Kokum Punch - 1 Gallon","Kokum Punch - 1 Gallon","Each",,5.7373,5.7373,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Kokum Punch - 1/2 Gallon","Kokum Punch - 1/2 Gallon","Each",,4.1669,4.1669,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Kokum Vinaigrette - Portion Cup","Kokum Vinaigrette - Portion Cup","Each",,0.1378,0.1378,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Kokum Vinaigrette Dressing","Kokum Vinaigrette","Each",,0.0772,0.0772,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Kokum Vinaigrette Dressing - Classic","Kokum Vinaigrette Dressing - Classic","Each",,0.0332,0.0332,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Kokum Vinaigrette Dressing - Desi Deluxe","Kokum Vinaigrette Dressing - Desi Deluxe","Each",,0.0371,0.0371,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Kokum Vinaigrette Dressing - Party Pack","Kokum Vinaigrette Dressing - Party Pack","Each",,0.0386,0.0386,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI LaCroix Grapefruit","LaCroix Grapefruit","Each",,0.6127,0.6127,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI LaCroix Lime","LaCroix Lime","Each",,0.6119,0.6119,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Lamb Kebab - Catering - Additional Item","Lamb Kebab - Catering - Additional Item","Each",,22.9640,22.9640,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Lamb Kebab - Classic","Lamb Kebab - Classic","Each",,0.9626,0.9626,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Lamb Kebab - Desi Deluxe","Lamb Kebab - Desi Deluxe","Each",,0.9186,0.9186,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Lamb Kebab - Kids","Lamb Kebab - Kids","Each",,1.1001,1.1001,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Lamb Kebab - Party Pack","Lamb Kebab - Party Pack","Each",,1.1001,1.1001,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Lamb Kebab Bowl - In House","Lamb Kebab Bowl - In House","Each",,3.7752,3.7752,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Lamb Kebab Bowl - Online","Lamb Kebab Bowl - Online","Each",,0.6148,0.6148,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Lamb Kebab Meatballs","Lamb Kebab","Each",,2.2002,2.2002,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Lemon Turmeric Rice","Lemon Turmeric Rice","Each",,0.2481,0.2481,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Lemon Turmeric Rice - Catering - Additional Item","Lemon Turmeric Rice - Catering - Additional Item","Each",,2.1482,2.1482,"2026-06-24 10:52:32.052209+00"
"P02-2026","MI Lemon Turmeric Rice - Classic","Lemon Turmeric Rice - Classic","Each",,0.1129,0.1129,"2026-06-24 10:52:32.052209+00"
