"period","recipe_name","clean_name","portion_unit","cogs_account","total_cost","cost_per_portion","loaded_at"
"P01-2026","BATCH Basmati Rice","BATCH Basmati Rice","Inactive","COGS - Prepped Food",8.0514,8.0514,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Beans Green Blanched","BATCH Beans Green Blanched","Inactive","COGS - Prepped Food",58.9028,58.9028,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Beef Cooked","BATCH Beef Cooked","Inactive","COGS - Meat",35.8368,2.9789,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Beef Marinated","BATCH Beef Marinated","Inactive","COGS - Meat",440.5685,440.5685,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Brussels Marinated","BATCH Brussels Marinated","Inactive","COGS - Produce",53.6844,5.3684,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Cardamom Mint Julep","BATCH Cardamom Mint Julep","Inactive","COGS - Liquor",278.5746,1.6477,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Carrot Slaw","BATCH Carrot Slaw","Inactive","COGS - Prepped Food",12.5398,0.0392,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Cauliflower + Potato","BATCH Cauliflower + Potato","Inactive","COGS - Prepped Food",5.3217,5.3217,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Cauliflower + Potato Cooked","BATCH Cauliflower + Potato Cooked","Inactive","COGS - Prepped Food",5.4356,0.3997,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Cherry Blossom Lassi Soft Serve","BATCH Cherry Blossom Lassi Soft Serve","Inactive","COGS - Prepped Food",42.2578,1.3205,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Chicken Marination Sauce","BATCH Chicken Marination Sauce","Inactive","COGS - Prepped Food",60.7027,9.8224,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Chicken Tikka Cooked","BATCH Chicken Tikka Cooked","Inactive","COGS - Poultry",1.7488,0.6858,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Chicken Tikka Marinated","BATCH Chicken Tikka Marinated","Inactive","COGS - Poultry",131.4651,131.4651,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Chickpeas Cooked","BATCH Chickpeas Cooked","Inactive","COGS - Prepped Food",7.4030,1.0576,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Chocolate Chai Soft Serve","BATCH Chocolate Chai Soft Serve","Inactive","COGS - Prepped Food",21.5496,0.8418,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Coconut Ginger Sauce","BATCH Coconut Ginger Sauce","Inactive","COGS - Prepped Food",97.7777,0.2547,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Coriander Chili Chutney","BATCH Coriander Chili Chutney","Inactive","COGS - Prepped Food",73.1076,73.1076,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Cranberry Chutney","BATCH Cranberry Chutney","Inactive","COGS - Prepped Food",56.3967,56.3967,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Eggplant Cooked","BATCH Eggplant Cooked","Inactive","COGS - Produce",4.0861,0.3756,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Eggplant Marinated","BATCH Eggplant Marinated","Inactive","COGS - Produce",79.7458,79.7458,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Gin + Tonic Masala Syrup","BATCH Gin + Tonic Masala Syrup","Inactive","COGS - N/A Beverage",8.9720,8.9720,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Harvest Vegetables","BATCH Harvest Vegetables","Inactive","COGS - Produce",14.1682,6.3534,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Harvest Vegetables Cooked","BATCH Harvest Vegetables Cooked","Inactive","COGS - Produce",8.0904,8.0904,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH House Vinaigrette","BATCH House Vinaigrette","Inactive","COGS - Prepped Food",6.5153,0.0905,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Indian Street Corn","BATCH Indian Street Corn","Inactive","COGS - Prepped Food",5.4393,5.4393,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Indian Yogurt","BATCH Indian Yogurt","Inactive","COGS - Prepped Food",26.7138,0.8106,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Jackfruit Blanched","BATCH Jackfruit Blanched","Inactive","COGS - Produce",28.0886,28.0886,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Jackfruit Cooked","BATCH Jackfruit Cooked","Inactive",,8.9413,0.7962,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Kachumber Salad","BATCH Kachumber Salad","Inactive","COGS - Prepped Food",10.8690,0.0288,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Kokum Punch","BATCH Kokum Punch","Inactive","COGS - N/A Beverage",12.3191,12.3191,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Kokum Vinaigrette","BATCH Kokum Vinaigrette","Inactive","COGS - Prepped Food",24.7992,24.7992,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Lamb Kebab Meatballs","BATCH Lamb Kebab Meatballs","CT","COGS - Meat",57.4702,1.9989,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Lamb Kebab Meatballs Cooked","BATCH Lamb Kebab Meatballs Cooked","Each","COGS - Meat",4.0386,2.0193,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Lamb Marinated","BATCH Lamb Marinated","Inactive","COGS - Meat",79.7089,79.7089,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Lemon Turmeric Rice","BATCH Lemon Turmeric Rice","Inactive","COGS - Prepped Food",11.4504,11.4504,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Lentil Chips","BATCH Lentil Chips","Each","COGS - Prepped Food",0.0416,0.0416,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Mango Coconut Yogurt","BATCH Mango Coconut Yogurt","Inactive","COGS - Prepped Food",70.0556,70.0556,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Mango Lassi","BATCH Mango Lassi","Inactive","COGS - N/A Beverage",47.2312,1.3120,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Mango Lassi Soft Serve","BATCH Mango Lassi Soft Serve","Inactive","COGS - Prepped Food",26.8187,0.8382,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Mango Salsa","BATCH Mango Salsa","Inactive","COGS - Prepped Food",95.3594,0.1490,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Masala Beets","BATCH Masala Beets","Inactive","COGS - Prepped Food",58.6648,0.1926,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Masala Chai Cookies","BATCH Masala Chai Cookies","Each","COGS - Prepped Food",17.9284,0.2989,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Masala Chai Soft Serve","BATCH Masala Chai Soft Serve","Inactive","COGS - Prepped Food",40.0226,1.2506,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Masala Gin + Tonic","BATCH Masala Gin + Tonic","Inactive","COGS - Liquor",298.9600,1.7683,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Masala Quinoa","BATCH Masala Quinoa","Inactive","COGS - Prepped Food",8.2833,0.3124,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Masala Yogurt","BATCH Masala Yogurt","Inactive","COGS - Dairy",11.7940,0.1427,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Mint Cardamom Limeade","BATCH Mint Cardamom Limeade","Inactive","COGS - N/A Beverage",16.7777,0.4415,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Mint Cardamom Syrup","BATCH Mint Cardamom Syrup","Inactive","COGS - N/A Beverage",38.9673,38.9673,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Mint Cilantro Chutney","BATCH Mint Cilantro Chutney","Inactive","COGS - Prepped Food",98.2076,0.1534,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Mumbai Mule","BATCH Mumbai Mule","Inactive","COGS - Liquor",209.2666,1.2378,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Peanut Sesame Sauce","BATCH Peanut Sesame Sauce","Inactive","COGS - Prepped Food",76.5205,0.2390,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Pickled Onions","BATCH Pickled Onions","Inactive","COGS - Prepped Food",12.9014,0.0403,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Pickled Radish","BATCH Pickled Radish","Inactive","COGS - Prepped Food",47.8325,0.0259,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Pumpkin Chai Soft Serve","BATCH Pumpkin Chai Soft Serve","Inactive","COGS - Prepped Food",40.7169,1.2723,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Raita Beet","BATCH Raita Beet","Inactive","COGS - Dairy",11.4450,0.3469,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Raita Cucumber","BATCH Raita Cucumber","Inactive","COGS - Dairy",12.6858,0.3850,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Roasted Lentils","BATCH Roasted Lentils","Inactive","COGS - Prepped Food",4.2912,0.0365,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Sautéed Spinach","BATCH Sautéed Spinach","Inactive","COGS - Prepped Food",9.5651,0.2140,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Shredded Paneer","BATCH Shredded Paneer","Inactive","COGS - Dairy",2.0953,0.1697,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Shrimp Cooked","BATCH Shrimp Cooked","Each","COGS - Seafood",21.4771,2.8597,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Shrimp Marinated","BATCH Shrimp Marinated","Inactive","COGS - Seafood",498.4532,498.4532,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Simple Syrup","BATCH Simple Syrup","Inactive","COGS - N/A Beverage",22.0848,22.0848,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH South Indian Rice Noodles","BATCH South Indian Rice Noodles","Inactive","COGS - Grocery Dry & Canned",29.8199,29.8199,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Spiced Chickpeas","BATCH Spiced Chickpeas","Inactive","COGS - Produce",2.9970,0.1332,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Spicy Chili Chicken Cooked","BATCH Spicy Chili Chicken Cooked","Inactive","COGS - Poultry",11.0148,0.6521,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Spinach Baked","BATCH Spinach Baked","Inactive","COGS - Prepped Food",53.5944,5.4355,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Strawberry Lassi","BATCH Strawberry Lassi","Inactive","COGS - N/A Beverage",28.2412,1.0657,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Strawberry Rhubarb Chutney","BATCH Strawberry Rhubarb Chutney","Inactive","COGS - Prepped Food",137.1366,137.1366,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Summer Squash","BATCH Summer Squash","Inactive","COGS - Produce",42.0074,12.0021,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Supergrains","BATCH Supergrains","Inactive","COGS - Prepped Food",39.6474,0.3828,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Sweet Heat Hot Sauce","BATCH Sweet Heat Hot Sauce","Inactive",,7.2549,0.1794,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Sweet Potato Tikki","BATCH Sweet Potato Tikki","Each","COGS - Produce",66.7858,0.3283,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Sweet Tamarind Chutney","BATCH Sweet Tamarind Chutney","Inactive","COGS - Prepped Food",120.7528,120.7528,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Tamarind Chili Sauce","BATCH Tamarind Chili Sauce","Inactive","COGS - Prepped Food",109.8690,0.1908,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Tamarind Coconut Powder","BATCH Tamarind Coconut Powder","Inactive","COGS - Prepped Food",28.7713,0.0855,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Tamarind Ginger Chutney","BATCH Tamarind Ginger Chutney","Inactive","COGS - Prepped Food",179.0143,179.0143,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Tamarind Margarita","BATCH Tamarind Margarita","Inactive","COGS - Liquor",250.1646,1.4797,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Tandoori Paneer Cooked","BATCH Tandoori Paneer Cooked","Each","COGS - Prepped Food",140.1520,0.9733,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Tandoori Paneer Marinated","BATCH Tandoori Paneer Marinated","Each","COGS - Produce",136.0964,1.1813,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH That Fire Hot Sauce","BATCH That Fire Hot Sauce","Inactive","COGS - Prepped Food",195.6899,195.6899,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH That Fire Hot Sauce New - Do not use","BATCH That Fire Hot Sauce New - Do not use","Inactive","COGS - Prepped Food",367.6646,367.6646,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Tikka Masala Sauce","BATCH Tikka Masala Sauce","Inactive","COGS - Prepped Food",21.5534,0.7773,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Toasted Cumin Yogurt","BATCH Toasted Cumin Yogurt","Inactive","COGS - Prepped Food",52.6755,52.6755,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Tofu Cauliflower Cooked","BATCH Tofu Cauliflower Cooked","Inactive","COGS - Produce",3.9319,0.7418,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Tofu Cauliflower Marinated","BATCH Tofu Cauliflower Marinated","Inactive","COGS - Produce",72.1009,0.4618,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Tomato Chutney","BATCH Tomato Chutney","Inactive","COGS - Prepped Food",86.3537,86.3537,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Tomato Garlic Sauce","BATCH Tomato Garlic Sauce","Inactive","COGS - Prepped Food",129.1525,0.3778,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Tomato Garlic Sauce - Test 03.20.25","BATCH Tomato Garlic Sauce - Test 03.20.25","Inactive","COGS - Prepped Food",381.8130,0.3948,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Tossed Green Beans","BATCH Tossed Green Beans","Inactive","COGS - Produce",7.7294,7.7294,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Turmeric Ginger Lemonade","BATCH Turmeric Ginger Lemonade","Inactive","COGS - N/A Beverage",13.3873,0.3618,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Turmeric Ginger Syrup","BATCH Turmeric Ginger Syrup","Inactive","COGS - N/A Beverage",27.3852,27.3852,"2026-06-24 10:52:30.752709+00"
"P01-2026","BATCH Vanilla Mango Lassi Soft Serve","BATCH Vanilla Mango Lassi Soft Serve","Inactive","COGS - Prepped Food",23.8041,0.9298,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Baingan Bartha","INDIQUE Baingan Bartha","Inactive",,237.2967,79.0989,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Basmati Rice","INDIQUE Basmati Rice","Inactive",,30.6188,0.5103,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Bhindi Masala","INDIQUE Bhindi Masala","Inactive",,63.6474,63.6474,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Biriyani Masala","INDIQUE Biriyani Masala","Inactive",,222.1070,1.5053,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Chettinad Masala","INDIQUE Chettinad Masala","Inactive",,137.9769,58.2180,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Chicken Chettinad","INDIQUE Chicken Chettinad","Inactive",,103.0250,103.0250,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Chicken Curry Madras","INDIQUE Chicken Curry Madras","Inactive",,82.2812,82.2812,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Chole","INDIQUE Chole","Inactive",,145.0319,36.2581,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Dal Makhani","INDIQUE Dal Makhani","Inactive",,231.6267,0.7721,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Dal Tadka","INDIQUE Dal Tadka","Inactive",,51.1372,22.7275,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Dosa Potato Masala","INDIQUE Dosa Potato Masala","Inactive",,25.7525,25.7525,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Fried Onion","INDIQUE Fried Onion","Inactive",,57.2947,57.2947,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Ginger Garlic Paste","INDIQUE Ginger Garlic Paste","Inactive",,16.5750,16.5750,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Gobhi","INDIQUE Gobhi","Inactive",,73.2714,3.4351,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Injipuli","INDIQUE Injipuli","Inactive",,64.1730,32.0866,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Lamb Roganjosh","INDIQUE Lamb Roganjosh","Inactive",,718.6194,143.7239,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Lemon Pickle","INDIQUE Lemon Pickle","Inactive",,161.3397,53.7800,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Makhani Gravy","INDIQUE Makhani Gravy","Inactive",,416.2064,52.0260,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Malabar Sauce","INDIQUE Malabar Sauce","Inactive",,70.8254,70.8254,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Onion Gravy","INDIQUE Onion Gravy","Inactive",,137.2672,27.4534,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Saag","INDIQUE Saag","Inactive",,127.1357,25.4272,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Shrimp Lobster Kerala Bisque","INDIQUE Shrimp Lobster Kerala Bisque","Inactive",,259.0674,3.7864,"2026-06-24 10:52:30.752709+00"
"P01-2026","INDIQUE Vegetable Jhalfrezi","INDIQUE Vegetable Jhalfrezi","Inactive",,100.1369,25.0343,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI 1/2 Arugula","1/2 Arugula","Each",,0.3984,0.3984,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI 1/2 Basmati Rice","1/2 Basmati Rice","Each",,0.0967,0.0967,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI 1/2 Cauliflower + Potato","1/2 Cauliflower + Potato","Each",,0.3997,0.3997,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI 1/2 Chicken Tikka","1/2 Chicken","Each",,0.3172,0.3172,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI 1/2 Green Jackfruit","1/2 Green Jackfruit","Each",,0.3980,0.3980,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI 1/2 Harvest Veggies","1/2 Roasted Vegetables","Each",,0.3935,0.3935,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI 1/2 Lamb Kebab","1/2 Lamb Kebab","Each",,1.0097,1.0097,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI 1/2 Lemon Turmeric Rice","1/2 Lemon Turmeric Rice","Each",,0.1126,0.1126,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI 1/2 Masala Quinoa","1/2 Masala Quinoa","Each",,0.1562,0.1562,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI 1/2 Romaine","1/2 Romaine Lettuce","Each",,0.2621,0.2621,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI 1/2 Sexygreens","1/2 Sexygreens","Each",,0.3459,0.3459,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI 1/2 South Indian Rice Noodles","1/2 South Indian Rice Noodles","Each",,0.1683,0.1683,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI 1/2 Spiced Beef","1/2 Spiced Beef","Each",,1.3143,1.3143,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI 1/2 Spicy Chili Chicken","1/2 Spicy Chili Chicken","Each",,0.3902,0.3902,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI 1/2 Spinach","1/2 Spinach","Each",,0.3573,0.3573,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI 1/2 Spinach 1/2 Sexygreens","1/2 Spinach 1/2 Sexygreens","Each",,0.7032,0.7032,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI 1/2 Supergrains","1/2 Supergrains","Each",,0.1698,0.1698,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI 1/2 Sweet Potato Tikki","1/2 Sweet Potato Tikki","Each",,0.1641,0.1641,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI 1/2 Tandoori Paneer","1/2 Tandoori Paneer","Each",,0.7300,0.7300,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI 1/2 Tofu + Cauliflower","1/2 Tofu + Cauliflower","Each",,0.3707,0.3707,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI 1/2 Turmeric Ginger Shrimp","1/2 Turmeric Ginger Shrimp","Each",,1.4297,1.4297,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Aloo Need Is Love - In House","Aloo Need Is Love - In House","Each",,2.4191,2.4191,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Aloo Need Is Love - Online","Aloo Need Is Love - Online","Each",,0.6148,0.6148,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Aramark BYO Chicken Tikka Bowl","Aramark BYO Chicken Tikka Bowl","Each",,2.5307,2.5307,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Aramark BYO Harvest Veg Bowl","Aramark BYO Harvest Veg Bowl","Each",,2.6320,2.6320,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Aramark BYO Lamb Bowl","Aramark BYO Lamb Bowl","Each",,3.8643,3.8643,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Aramark BYO Paneer Bowl","Aramark BYO Paneer Bowl","Each",,3.0615,3.0615,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Aramark BYO Spicy Chicken Bowl","Aramark BYO Spicy Chicken Bowl","Each",,2.6252,2.6252,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Aramark Marriott BYO Chicken Tikka Bowl","Aramark Marriott BYO Chicken Tikka Bowl","Each",,2.5366,2.5366,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Aramark Marriott BYO Harvest Veg Bowl","Aramark Marriott BYO Harvest Veg Bowl","Each",,2.6379,2.6379,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Aramark Marriott BYO Paneer Bowl","Aramark Marriott BYO Paneer Bowl","Each",,3.0674,3.0674,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Aramark Marriott BYO Spicy Chicken Bowl","Aramark Marriott BYO Spicy Chicken Bowl","Each",,2.6311,2.6311,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Aramark Marriott Chicken Curry Bowl","Aramark Marriott Chicken Curry Bowl","Each",,2.2267,2.2267,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Aramark Marriott Chicken Tikka Masala Bowl","Aramark Marriott Chicken Tikka Masala Bowl","Each",,2.2107,2.2107,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Aramark Marriott Tandoori Paneer Bowl","Aramark Marriott Tandoori Paneer Bowl","Each",,2.7978,2.7978,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Arugula","Arugula","Each",,0.7969,0.7969,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Arugula - Classic","Arugula - Classic","Each",,0.2284,0.2284,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Arugula - Desi Deluxe","Arugula - Desi Deluxe","Each",,0.2125,0.2125,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Arugula - Party Pack","Arugula - Party Pack","Each",,0.2656,0.2656,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Aslin Trite IPA 1 can","Aslin Trite IPA 1 can","Each",,0.0000,0.0000,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Avocado","Avocado","Each",,0.2404,0.2404,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI BABE Rose 1 can","BABE Rose 1 can","Each",,2.3188,2.3188,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI BABE Rose 6 pack","BABE Rose 6 pack","Each",,13.9125,13.9125,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI BABE White Wine 1 can","BABE White Wine 1 can","Each",,2.8542,2.8542,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Baby Spinach","Baby Spinach","Each",,0.7145,0.7145,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Baby Spinach - Classic","Baby Spinach - Classic","Each",,0.1807,0.1807,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Baby Spinach - Desi Deluxe","Baby Spinach - Desi Deluxe","Each",,0.1681,0.1681,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Baby Spinach - Party Pack","Baby Spinach - Party Pack","Each",,0.2102,0.2102,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Basmati Rice","Basmati Rice","Each",,0.2119,0.2119,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Basmati Rice - Catering - Additional Item","Basmati Rice - Catering - Additional Item","Each",,1.9749,1.9749,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Basmati Rice - Classic","Basmati Rice - Classic","Each",,0.0964,0.0964,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Basmati Rice - Desi Deluxe","Basmati Rice - Desi Deluxe","Each",,0.0900,0.0900,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Basmati Rice - Party Pack","Basmati Rice - Party Pack","Each",,0.1126,0.1126,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Basmati Rice - Side","Basmati Rice - Side","Each",,0.3319,0.3319,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Beet Raita","Beet Raita","Each",,0.3468,0.3468,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Bengali 1 can","Bengali 1 can","Each",,1.2912,1.2912,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Bengali 6 pack","Bengali 6 pack","Each",,7.7475,7.7475,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Borsao Red Blend - bottle","Borsao Red Blend - bottle","Each",,6.6908,6.6908,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Borsao Red Blend - glass","Borsao Red Blend - glass","Each",,1.5830,1.5830,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Butter Chicken Burrito - In House","Butter Chicken Burrito - In House","Each",,3.7954,3.7954,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI Butter Chicken Burrito - Online","Butter Chicken Burrito - Online","Each",,1.0268,1.0268,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI BYO Burrito - In House","BYO Burrito - In House","Each",,2.7236,2.7236,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI BYO Burrito - Online","BYO Burrito - Online","Each",,1.0268,1.0268,"2026-06-24 10:52:30.752709+00"
"P01-2026","MI BYO Ginger Shrimp Bowl","BYO Ginger Shrimp Bowl","Each",,4.2937,4.2937,"2026-06-24 10:52:30.752709+00"
